vteWorld championships in 2016,vteWorld championships in 2016.1
Summer sports & indoor sports,Archery (indoor) Athletics (indoor) Badminton (team) Basketball (3x3) Beach handball Bowls outdoor indoor Boxing (women) Cycling road track mountain bike & trials cyclo-cross BMX Fencing Finswimming Floorball (men) Futsal Karate Modern pentathlon Nine-pin bowling Orienteering Racquetball Real tennis Rowing Squash men women women's team Sport climbing Swimming (25 m) Table tennis Wrestling
Winter sports,Bandy men women Biathlon Bobsleigh / Skeleton Curling men women mixed mixed doubles wheelchair Figure skating Ice hockey men women Luge Speed skating allround sprint single distances short track
Cue & mind sports,Chess open women rapid blitz Darts BDO PDC Draughts men women Pool Nine-ball Snooker six-red
Motor sports,Air race Endurance Formula One F1 Powerboat Motocross men team MotoGP Moto2 Moto3 Motorcycle cross-country rally Rally Rallycross Sidecarcross Superbike Supersport Touring car
