Entrant,Constructor,Chassis,Power unit,Race drivers,Race drivers,Race drivers
Entrant,Constructor,Chassis,Power unit,No.,Driver name,Rounds
Scuderia Ferrari,Ferrari,SF16-H,Ferrari 061[7],5 7,Sebastian Vettel  Kimi Räikkönen,All All
Sahara Force India F1 Team[3],Force India-Mercedes,VJM09,Mercedes PU106C Hybrid[8],11 27,Sergio Pérez  Nico Hülkenberg,All All
Haas F1 Team,Haas-Ferrari,VF-16,Ferrari 061[7],8 21,Romain Grosjean  Esteban Gutiérrez,All All
McLaren Honda Formula 1 Team,McLaren-Honda,MP4-31,Honda RA616H[9],14 47 22,Fernando Alonso  Stoffel Vandoorne  Jenson Button,"1, 3–21 2 All"
Mercedes AMG Petronas F1 Team,Mercedes,F1 W07 Hybrid,Mercedes PU106C Hybrid[8],6 44,Nico Rosberg  Lewis Hamilton,All All
Manor Racing MRT[a],MRT-Mercedes,MRT05,Mercedes PU106C Hybrid[8],88 31 94,Rio Haryanto  Esteban Ocon  Pascal Wehrlein,1–12 13–21 All
Red Bull Racing,Red Bull Racing-TAG Heuer,RB12,TAG Heuer F1-2016[N 1],3 26 33,Daniel Ricciardo  Daniil Kvyat  Max Verstappen,All 1–4 5–21
Renault Sport Formula One Team[3],Renault,R.S.16,Renault R.E.16[11],20 30,Kevin Magnussen  Jolyon Palmer,All All
Sauber F1 Team,Sauber-Ferrari,C35,Ferrari 061[7],9 12,Marcus Ericsson  Felipe Nasr,All All
Scuderia Toro Rosso,Toro Rosso-Ferrari,STR11,Ferrari 060[12],33 26 55,Max Verstappen  Daniil Kvyat  Carlos Sainz Jr.,1–4 5–21 All
Williams Martini Racing,Williams-Mercedes,FW38,Mercedes PU106C Hybrid[8],19 77,Felipe Massa  Valtteri Bottas,All All
Sources: [13][14][15],Sources: [13][14][15],Sources: [13][14][15],Sources: [13][14][15],Sources: [13][14][15],Sources: [13][14][15],Sources: [13][14][15]
