Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,Monaco Grand Prix,Jim Clark,Lorenzo Bandini,Jackie Stewart,BRM,D,Report
2,Belgian Grand Prix,John Surtees,John Surtees,John Surtees,Ferrari,D,Report
3,French Grand Prix,Lorenzo Bandini,Lorenzo Bandini,Jack Brabham,Brabham-Repco,G,Report
4,British Grand Prix,Jack Brabham,Jack Brabham,Jack Brabham,Brabham-Repco,G,Report
5,Dutch Grand Prix,Jack Brabham,Denny Hulme,Jack Brabham,Brabham-Repco,G,Report
6,German Grand Prix,Jim Clark,John Surtees,Jack Brabham,Brabham-Repco,G,Report
7,Italian Grand Prix,Mike Parkes,Ludovico Scarfiotti,Ludovico Scarfiotti,Ferrari,F,Report
8,United States Grand Prix,Jack Brabham,John Surtees,Jim Clark,Lotus-BRM,F,Report
9,Mexican Grand Prix,John Surtees,Richie Ginther,John Surtees,Cooper-Maserati,D,Report
