Pos.,Constructor,No.,AUS,MAL,BRA,SMR,ESP,AUT,MON,CAN,EUR,FRA,GBR,GER,HUN,BEL,ITA,USA,JPN,Points
1,Ferrari,1,1PF,1P,2P,Ret,1PF,2P,1,2P,1P,1,2P,Ret,1P,1F,4,2P,1P,179
1,Ferrari,2,3,2,Ret,3,Ret,3,2,Ret,5,3,3,2,2,5,2,15†,5,179
2,McLaren-Mercedes,3,Ret,6F,Ret,4,9†,Ret,Ret,3,6,DNS,1F,Ret,5F,4,Ret,1,4,102
2,McLaren-Mercedes,4,2,3,1,2P,5,1F,5PF,Ret,3,4F,Ret,Ret,3,2,Ret,3,3,102
3,Williams-BMW,5,Ret,5,RetF,1F,Ret,Ret,Ret,1F,4,2P,Ret,1,4,7,3F,Ret,6F,80
3,Williams-BMW,6,Ret,Ret,Ret,Ret,2,Ret,Ret,Ret,2F,Ret,4,RetPF,8,RetP,1P,RetF,2,80
4,Sauber-Petronas,16,4,Ret,3,7,6,9,Ret,Ret,Ret,6,6,Ret,6,Ret,11,6,9,21
4,Sauber-Petronas,17,6,Ret,Ret,Ret,8,4,10,4,10,7,5,Ret,7,DNS,7,Ret,Ret,21
5,Jordan-Honda,11,5,4,11†,6,Ret,Ret,Ret,7,Ret,8,7,Ret,Ret,Ret,Ret,4,8,19
5,Jordan-Honda,12,Ret,8,5,5,4,DSQ,Ret,11†,Ret,5,Ret,Ret,10,6,8,7,Ret,19
6,BAR-Honda,9,7,Ret,4,8,7,5,Ret,Ret,Ret,9,Ret,7,Ret,11,9,11,13,17
6,BAR-Honda,10,Ret,Ret,7,Ret,3,8,4,Ret,9,Ret,8,3,9,8,6,Ret,10,17
7,Benetton-Renault,7,13,Ret,6,Ret,14,Ret,Ret,Ret,11,11,13,4,Ret,3,10,8,17†,10
7,Benetton-Renault,8,14†,11,10,12,15,Ret,7,Ret,13,16†,15,5,Ret,Ret,Ret,9,7,10
8,Jaguar-Cosworth,18,11,Ret,Ret,Ret,Ret,7,3,Ret,7,Ret,9,Ret,Ret,DNS,Ret,5,Ret,9
8,Jaguar-Cosworth,19,8,10,Ret,11,Ret,Ret,Ret,6,8,14,12,Ret,11,Ret,5,12,Ret,9
9,Prost-Acer,22,9,9,8,9,10,10,6,5,15†,12,11,6,Ret,9,Ret,10,12,4
9,Prost-Acer,23,Ret,12,Ret,Ret,11,11,Ret,8,12,10,Ret,Ret,Ret,DNS,12,14,Ret,4
10,Arrows-Asiatech,14,10,7,Ret,Ret,12,6,8,10†,Ret,13,10,9,12,10,Ret,Ret,15,1
10,Arrows-Asiatech,15,Ret,Ret,Ret,10,Ret,Ret,9,Ret,Ret,Ret,14,8,Ret,12,Ret,13,14,1
11,Minardi-European,20,Ret,14,9,Ret,16,Ret,Ret,9,Ret,15,DNQ,Ret,Ret,13,Ret,Ret,16,0
11,Minardi-European,21,12,13,Ret,Ret,13,Ret,Ret,Ret,14,17†,16,10,Ret,DNS,13,Ret,11,0
Pos.,Constructor,No.,AUS,MAL,BRA,SMR,ESP,AUT,MON,CAN,EUR,FRA,GBR,GER,HUN,BEL,ITA,USA,JPN,Points
Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16],Source:[16]
