Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Australian Grand Prix,Michael Schumacher,Michael Schumacher,Michael Schumacher,Ferrari,Report
2,Malaysian Grand Prix,Michael Schumacher,Mika Häkkinen,Michael Schumacher,Ferrari,Report
3,Brazilian Grand Prix,Michael Schumacher,Ralf Schumacher,David Coulthard,McLaren-Mercedes,Report
4,San Marino Grand Prix,David Coulthard,Ralf Schumacher,Ralf Schumacher,Williams-BMW,Report
5,Spanish Grand Prix,Michael Schumacher,Michael Schumacher,Michael Schumacher,Ferrari,Report
6,Austrian Grand Prix,Michael Schumacher,David Coulthard,David Coulthard,McLaren-Mercedes,Report
7,Monaco Grand Prix,David Coulthard[b],David Coulthard,Michael Schumacher,Ferrari,Report
8,Canadian Grand Prix,Michael Schumacher,Ralf Schumacher,Ralf Schumacher,Williams-BMW,Report
9,European Grand Prix,Michael Schumacher,Juan Pablo Montoya,Michael Schumacher,Ferrari,Report
10,French Grand Prix,Ralf Schumacher,David Coulthard,Michael Schumacher,Ferrari,Report
11,British Grand Prix,Michael Schumacher,Mika Häkkinen,Mika Häkkinen,McLaren-Mercedes,Report
12,German Grand Prix,Juan Pablo Montoya,Juan Pablo Montoya,Ralf Schumacher,Williams-BMW,Report
13,Hungarian Grand Prix,Michael Schumacher,Mika Häkkinen,Michael Schumacher,Ferrari,Report
14,Belgian Grand Prix,Juan Pablo Montoya[c],Michael Schumacher,Michael Schumacher,Ferrari,Report
15,Italian Grand Prix,Juan Pablo Montoya,Ralf Schumacher,Juan Pablo Montoya,Williams-BMW,Report
16,United States Grand Prix,Michael Schumacher,Juan Pablo Montoya,Mika Häkkinen,McLaren-Mercedes,Report
17,Japanese Grand Prix,Michael Schumacher,Ralf Schumacher[d],Michael Schumacher,Ferrari,Report
Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15],Source:[15]
