0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Pos. Driver AUS MAL BRA SMR ESP AUT MON CAN EUR FRA GBR GER HUN BEL ITA USA JPN Points 1  Michael Schumacher 1PF 1P 2P Ret 1PF 2P 1 2P 1P 1 2P Ret 1P 1F 4 2P 1P 123 2  David Coulthard 2 3 1 2P 5 1F 5PF Ret 3 4F Ret Ret 3 2 Ret 3 3 65 3  Rubens Barrichello 3 2 Ret 3 Ret 3 2 Ret 5 3 3 2 2 5 2 15† 5 56 4  Ralf Schumacher Ret 5 RetF 1F Ret Ret Ret 1F 4 2P Ret 1 4 7 3F Ret 6F 49 5  Mika Häkkinen Ret 6F Ret 4 9† Ret Ret 3 6 DNS 1F Ret 5F 4 Ret 1 4 37 6  Juan Pablo Montoya Ret Ret Ret Ret 2 Ret Ret Ret 2F Ret 4 RetPF 8 RetP 1P RetF 2 31 7  Jacques Villeneuve Ret Ret 7 Ret 3 8 4 Ret 9 Ret 8 3 9 8 6 Ret 10 12 8  Nick Heidfeld 4 Ret 3 7 6 9 Ret Ret Ret 6 6 Ret 6 Ret 11 6 9 12 9  Jarno Trulli Ret 8 5 5 4 DSQ Ret 11† Ret 5 Ret Ret Ret Ret Ret 4 8 12 10  Kimi Räikkönen 6 Ret Ret Ret 8 4 10 4 10 7 5 Ret 7 DNS 7 Ret Ret 9 11  Giancarlo Fisichella 13 Ret 6 Ret 14 Ret Ret Ret 11 11 13 4 Ret 3 10 8 17† 8 12  Eddie Irvine 11 Ret Ret Ret Ret 7 3 Ret 7 Ret 9 Ret Ret DNS Ret 5 Ret 6 13  Heinz-Harald Frentzen 5 4 11† 6 Ret Ret Ret WD Ret 8 7 Ret 9 Ret 10 12 6 14  Olivier Panis 7 Ret 4 8 7 5 Ret Ret Ret 9 Ret 7 Ret 11 9 11 13 5 15  Jean Alesi 9 9 8 9 10 10 6 5 15† 12 11 6 10 6 8 7 Ret 5 16  Pedro de la Rosa Ret Ret Ret 6 8 14 12 Ret 11 Ret 5 12 Ret 3 17  Jenson Button 14† 11 10 12 15 Ret 7 Ret 13 16† 15 5 Ret Ret Ret 9 7 2 18  Jos Verstappen 10 7 Ret Ret 12 6 8 10† Ret 13 10 9 12 10 Ret Ret 15 1 19  Ricardo Zonta 7 Ret 0 20  Luciano Burti 8 10 Ret 11 11 11 Ret 8 12 10 Ret Ret Ret DNS 0 21  Enrique Bernoldi Ret Ret Ret 10 Ret Ret 9 Ret Ret Ret 14 8 Ret 12 Ret 13 14 0 22  Tarso Marques Ret 14 9 Ret 16 Ret Ret 9 Ret 15 DNQ Ret Ret 13 0 23  Fernando Alonso 12 13 Ret Ret 13 Ret Ret Ret 14 17† 16 10 Ret DNS 13 Ret 11 0 24  Tomáš Enge 12 14 Ret 0 25  Gastón Mazzacane Ret 12 Ret Ret 0 26  Alex Yoong Ret Ret 16 0 Pos. Driver AUS MAL BRA SMR ESP AUT MON CAN EUR FRA GBR GER HUN BEL ITA USA JPN Points Source:[16],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,,,,,,,,,
Pos.,Driver,AUS,MAL,BRA,SMR,ESP,AUT,MON,CAN,EUR,FRA,GBR,GER,HUN,BEL,ITA,USA,JPN,Points
1,Michael Schumacher,1PF,1P,2P,Ret,1PF,2P,1,2P,1P,1,2P,Ret,1P,1F,4,2P,1P,123
2,David Coulthard,2,3,1,2P,5,1F,5PF,Ret,3,4F,Ret,Ret,3,2,Ret,3,3,65
3,Rubens Barrichello,3,2,Ret,3,Ret,3,2,Ret,5,3,3,2,2,5,2,15†,5,56
4,Ralf Schumacher,Ret,5,RetF,1F,Ret,Ret,Ret,1F,4,2P,Ret,1,4,7,3F,Ret,6F,49
5,Mika Häkkinen,Ret,6F,Ret,4,9†,Ret,Ret,3,6,DNS,1F,Ret,5F,4,Ret,1,4,37
6,Juan Pablo Montoya,Ret,Ret,Ret,Ret,2,Ret,Ret,Ret,2F,Ret,4,RetPF,8,RetP,1P,RetF,2,31
7,Jacques Villeneuve,Ret,Ret,7,Ret,3,8,4,Ret,9,Ret,8,3,9,8,6,Ret,10,12
8,Nick Heidfeld,4,Ret,3,7,6,9,Ret,Ret,Ret,6,6,Ret,6,Ret,11,6,9,12
