Race name,Circuit,Date,Winning driver,Constructor,Report
I Presidente Medici Grand Prix,Brasília,3 February,Emerson Fittipaldi,McLaren-Cosworth,Report
IX Race of Champions,Brands Hatch,17 March,Jacky Ickx,Lotus-Cosworth,Report
XXVI BRDC International Trophy,Silverstone,7 April,James Hunt,Hesketh-Cosworth,Report
