Round,Grand Prix,Circuit,Date
1,Argentine Grand Prix,"Autódromo Oscar Alfredo Gálvez, Buenos Aires",13 January
2,Brazilian Grand Prix,"Autodromo de Interlagos, São Paulo",27 January
3,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",30 March
4,Spanish Grand Prix,"Circuito Permanente Del Jarama, Madrid",28 April
5,Belgian Grand Prix,"Nivelles-Baulers, Nivelles",12 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",26 May
7,Swedish Grand Prix,"Scandinavian Raceway, Anderstorp",9 June
8,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",23 June
9,French Grand Prix,"Dijon-Prenois, Prenois",7 July
10,British Grand Prix,"Brands Hatch, Kent",20 July
11,German Grand Prix,"Nürburgring, Nürburg",4 August
12,Austrian Grand Prix,"Österreichring, Spielberg",18 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",8 September
14,Canadian Grand Prix,"Mosport Park, Bowmanville",22 September
15,United States Grand Prix,"Watkins Glen International, New York",6 October
