Round,Grand Prix,Circuit,Date
1,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",1 January
2,Spanish Grand Prix,"Circuito Permanente Del Jarama, Madrid",12 May
3,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",26 May
4,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",9 June
5,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",23 June
6,French Grand Prix,"Rouen-Les-Essarts, Orival",7 July
7,British Grand Prix,"Brands Hatch, West Kingsdown",20 July
8,German Grand Prix,"Nürburgring, Nürburg",4 August
9,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",8 September
10,Canadian Grand Prix,"Circuit Mont-Tremblant, Mont-Tremblant",22 September
11,United States Grand Prix,"Watkins Glen International, New York",6 October
12,Mexican Grand Prix,"Magdalena Mixhuca, Mexico City",3 November
