Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,South African Grand Prix,Jim Clark,Jim Clark,Jim Clark,Lotus-Ford,F,Report
2,Spanish Grand Prix,Chris Amon,Jean-Pierre Beltoise,Graham Hill,Lotus-Ford,F,Report
3,Monaco Grand Prix,Graham Hill,Richard Attwood,Graham Hill,Lotus-Ford,F,Report
4,Belgian Grand Prix,Chris Amon,John Surtees,Bruce McLaren,McLaren-Ford,G,Report
5,Dutch Grand Prix,Chris Amon,Jean-Pierre Beltoise,Jackie Stewart,Matra-Ford,D,Report
6,French Grand Prix,Jochen Rindt,Pedro Rodríguez,Jacky Ickx,Ferrari,F,Report
7,British Grand Prix,Graham Hill,Jo Siffert,Jo Siffert,Lotus-Ford,F,Report
8,German Grand Prix,Jacky Ickx,Jackie Stewart,Jackie Stewart,Matra-Ford,D,Report
9,Italian Grand Prix,John Surtees,Jackie Oliver,Denny Hulme,McLaren-Ford,G,Report
10,Canadian Grand Prix,Jochen Rindt,Jo Siffert,Denny Hulme,McLaren-Ford,G,Report
11,United States Grand Prix,Mario Andretti,Jackie Stewart,Jackie Stewart,Matra-Ford,D,Report
12,Mexican Grand Prix,Jo Siffert,Jo Siffert,Graham Hill,Lotus-Ford,F,Report
