vteWorld championships in 2021,vteWorld championships in 2021.1
Summer sports & indoor sports,Archery Arm wrestling Athletics race walking relay Badminton individual team mixed team Baseball (women) Beach tennis Bowling 9-pin 10-pin Bowls (indoor) Boxing (men) Canoeing sprint slalom marathon wildwater ocean race standup paddling canoe sailing Cricket men T20 Test Cycling road track mountain bike mountain bike marathon mountain bike eliminator cyclo-cross BMX urban indoor gran fondo Finswimming Flag football men women Floorball men women Football futsal (men) beach soccer (men) Gymnastics artistic rhythmic trampoline acrobatic aerobic aesthetic Handball men women Judo kata Karate Modern pentathlon biathle/triathle Muaythai Orienteering Padel Racquetball Rowing coastal Roller Sports Inline speed skating Skateboarding (street) Artistic skating Scootering Inline downhill Inline hockey Sailing 470 Laser Radial Melges 20 Platu 25 offshore sailing match racing Hempel Shooting (running target) Sport climbing Squash men women Surfing Swimming (25m) Table tennis Surf longboard Triathlon duathlon cross aquathlon long distance duathlon half Ironman long distance triathlon triathlon Tug of War (outdoor) Weightlifting Windsurfing iQFoil RS:X Raceboard Wrestling
Winter sports,Alpine skiing Bandy men Biathlon summer Bobsleigh / Skeleton Curling men women mixed mixed doubles wheelchair Figure skating Freestyle skiing Grass skiing Ice hockey men women Luge artificial track natural track Nordic skiing Rollerski Ski orienteering Snowboarding Speed skating single distances short track Telemarking Winter triathlon
Cue & mind sports,Chess Darts Draughts men women's match women Pool Nine-ball Team nine-ball Ten-ball Snooker Three-cushion
Motor sports,Aquabike Drifting Endurance auto racing FIM EWC Superstock Enduro endurance e-bike Flat Track F1 Powerboat Formula E 2020–21 2021–22 Formula One Hill climb Long track Motocross men women team MotoGP Moto2 Moto3 MotoE Motosurf Rally WRC-2 WRC-3 R-GT J-WRC Rallycross Rally raid Auto Moto Bajas auto Bajas moto Speedway individual team ice speedway Sidecar Sidecarcross Snowcross Superbike Supersport Supersport 300 Supercross Supermoto team Touring car Trial men women e-trial x-trial team trial
