Position,Constructeurs,Points
Champion,McLaren-Mercedes,833
2,Mercedes,469
3,Red Bull-Honda RBPT,451
4,Ferrari,398
5,Williams-Mercedes,137
6,Racing Bulls-Honda RBPT,92
7,Aston Martin-Mercedes,89
8,Haas-Ferrari,79
9,Kick Sauber-Ferrari,70
10,Alpine-Renault,22
