0,1,2,3,4,5,6,7,8,9
—,Horace Gould,,,,,Ret,Ret,Ret,0
—,Alberto Ascari,Ret,Ret,,,,,,0
—,Élie Bayol,Ret,Ret,,,,,,0
—,André Simon,,Ret,,,,Ret,,0
—,Peter Collins,,,,,,Ret,Ret,0
—,Peter Walker,,,,,Ret,Ret†,,0
—,Jesus Iglesias,Ret,,,,,,,0
—,Pablo Birger,Ret,,,,,,,0
—,Alberto Uría,Ret,,,,,,,0
—,Don Freeland,,,Ret,,,,,0
—,Cal Niday,,,Ret,,,,,0
—,Art Cross,,,Ret,,,,,0
—,Shorty Templeman,,,Ret,,,,,0
—,Sam Hanks,,,Ret,,,,,0
—,Keith Andrews,,,Ret,,,,,0
—,Johnnie Parsons,,,Ret,,,,,0
—,Eddie Russo,,,Ret,,,,,0
—,Ray Crawford,,,Ret,,,,,0
—,Jimmy Bryan,,,Ret,,,,,0
—,Jack McGrath,,,Ret,,,,,0
—,Al Keller,,,Ret,,,,,0
—,Johnny Boyd,,,Ret,,,,,0
—,Ed Elisian,,,Ret,,,,,0
—,Rodger Ward,,,Ret,,,,,0
—,Jerry Hoyt,,,RetP,,,,,0
—,Jimmy Reece,,,Ret,,,,,0
—,Fred Agabashian,,,Ret,,,,,0
—,Kenneth McAlpine,,,,,,Ret,,0
—,Jack Brabham,,,,,,Ret,,0
—,Roy Salvadori,,,,,,Ret,,0
—,Leslie Marr,,,,,,Ret,,0
—,Jean Lucas,,,,,,,Ret,0
—,Clemar Bucci,Ret†,,,,,,,0
—,Tony Rolt,,,,,,Ret†,,0
—,Ted Whiteaway,,DNQ,,,,,,0
—,Jack Fairman,,,,,,DNS,,0
—,Luigi Piotti,,,,,,,DNS,0
Pos.,Driver,ARG,MON,500,BEL,NED,GBR,ITA,Pts.
Key,Key,,,,,,,,
Colour,Result,,,,,,,,
Gold,Winner,,,,,,,,
Silver,Second place,,,,,,,,
Bronze,Third place,,,,,,,,
Green,Other points position,,,,,,,,
Blue,Other classified position,,,,,,,,
Blue,"Not classified, finished (NC)",,,,,,,,
Purple,"Not classified, retired (Ret)",,,,,,,,
Red,Did not qualify (DNQ),,,,,,,,
Black,Disqualified (DSQ),,,,,,,,
White,Did not start (DNS),,,,,,,,
White,Race cancelled (C),,,,,,,,
Blank,Did not practice (DNP),,,,,,,,
Blank,Excluded (EX),,,,,,,,
Blank,Did not arrive (DNA),,,,,,,,
Blank,Withdrawn (WD),,,,,,,,
Blank,Did not enter (empty cell),,,,,,,,
Annotation,Meaning,,,,,,,,
P,Pole position,,,,,,,,
F,Fastest lap,,,,,,,,
