Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,Argentine Grand Prix,José Froilán González,Juan Manuel Fangio,Juan Manuel Fangio,Mercedes,C,Report
2,Monaco Grand Prix,Juan Manuel Fangio,Juan Manuel Fangio,Maurice Trintignant,Ferrari,E,Report
3,Indianapolis 500,Jerry Hoyt,Bill Vukovich,Bob Sweikert,Kurtis Kraft-Offenhauser,F,Report
4,Belgian Grand Prix,Eugenio Castellotti,Juan Manuel Fangio,Juan Manuel Fangio,Mercedes,C,Report
5,Dutch Grand Prix,Juan Manuel Fangio,Roberto Mieres,Juan Manuel Fangio,Mercedes,C,Report
6,British Grand Prix,Stirling Moss,Stirling Moss,Stirling Moss,Mercedes,C,Report
7,Italian Grand Prix,Juan Manuel Fangio,Stirling Moss,Juan Manuel Fangio,Mercedes,C,Report
