Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Tyrrell Racing Organisation,Tyrrell-Ford,001,Ford Cosworth DFV 3.0 V8,D,Jackie Stewart,11–13
Tyrrell Racing Organisation,March-Ford,701,Ford Cosworth DFV 3.0 V8,D,Jackie Stewart,1–10
Tyrrell Racing Organisation,March-Ford,701,Ford Cosworth DFV 3.0 V8,D,Johnny Servoz-Gavin,1–3
Tyrrell Racing Organisation,March-Ford,701,Ford Cosworth DFV 3.0 V8,D,François Cevert,5–13
Équipe Matra Elf,Matra,MS120,Matra MS12 3.0 V12,G,Jean-Pierre Beltoise,All
Équipe Matra Elf,Matra,MS120,Matra MS12 3.0 V12,G,Henri Pescarolo,All
Bruce McLaren Motor Racing,McLaren-Ford,M14A,Ford Cosworth DFV 3.0 V8,G,Bruce McLaren,1–3
Bruce McLaren Motor Racing,McLaren-Ford,M14A,Ford Cosworth DFV 3.0 V8,G,Denny Hulme,"1–3, 6–13"
Bruce McLaren Motor Racing,McLaren-Ford,M14A,Ford Cosworth DFV 3.0 V8,G,Peter Gethin,"5, 8–13"
Bruce McLaren Motor Racing,McLaren-Ford,M14A,Ford Cosworth DFV 3.0 V8,G,Dan Gurney,5–7
Bruce McLaren Motor Racing,McLaren-Alfa Romeo,M7D M14D,Alfa Romeo T33 3.0 V8,G,Andrea de Adamich,"2–3, 5–12"
Bruce McLaren Motor Racing,McLaren-Alfa Romeo,M7D M14D,Alfa Romeo T33 3.0 V8,G,Nanni Galli,10
Team Surtees,McLaren-Ford,M7C,Ford Cosworth DFV 3.0 V8,F,John Surtees,"1–3, 5"
Team Surtees,Surtees-Ford,TS7,Ford Cosworth DFV 3.0 V8,F,John Surtees,7–13
Team Surtees,Surtees-Ford,TS7,Ford Cosworth DFV 3.0 V8,F,Derek Bell,12
STP Corporation,March-Ford,701,Ford Cosworth DFV 3.0 V8,F,Mario Andretti,"1–2, 7–9"
Gold Leaf Team Lotus  Garvey Team Lotus  World Wide Racing,Lotus-Ford,49C 72B 72C,Ford Cosworth DFV 3.0 V8,F,Jochen Rindt,1–10
Gold Leaf Team Lotus  Garvey Team Lotus  World Wide Racing,Lotus-Ford,49C 72B 72C,Ford Cosworth DFV 3.0 V8,F,John Miles,1–10
Gold Leaf Team Lotus  Garvey Team Lotus  World Wide Racing,Lotus-Ford,49C 72B 72C,Ford Cosworth DFV 3.0 V8,F,Alex Soler-Roig,"2, 4, 6"
Gold Leaf Team Lotus  Garvey Team Lotus  World Wide Racing,Lotus-Ford,49C 72B 72C,Ford Cosworth DFV 3.0 V8,F,Emerson Fittipaldi,"7–10, 12–13"
Gold Leaf Team Lotus  Garvey Team Lotus  World Wide Racing,Lotus-Ford,49C 72B 72C,Ford Cosworth DFV 3.0 V8,F,Reine Wisell,12–13
Rob Walker Racing Team  Brooke Bond Oxo Racing with Rob Walker,Lotus-Ford,49C 72C,Ford Cosworth DFV 3.0 V8,F,Graham Hill,"1–8, 10–13"
Motor Racing Developments  Auto Motor und Sport,Brabham-Ford,BT33,Ford Cosworth DFV 3.0 V8,G,Jack Brabham,All
Motor Racing Developments  Auto Motor und Sport,Brabham-Ford,BT33,Ford Cosworth DFV 3.0 V8,G,Rolf Stommelen,All
March Engineering,March-Ford,701,Ford Cosworth DFV 3.0 V8,F,Chris Amon,All
March Engineering,March-Ford,701,Ford Cosworth DFV 3.0 V8,F,Jo Siffert,All
Scuderia Ferrari SpA SEFAC,Ferrari,312B,Ferrari 001 3.0 F12,F,Jacky Ickx,All
Scuderia Ferrari SpA SEFAC,Ferrari,312B,Ferrari 001 3.0 F12,F,Ignazio Giunti,"4, 6, 9–10"
Scuderia Ferrari SpA SEFAC,Ferrari,312B,Ferrari 001 3.0 F12,F,Clay Regazzoni,"5, 7–13"
Owen Racing Organisation  Yardley Team BRM,BRM,P153 P139,BRM P142 3.0 V12,D,Jackie Oliver,All
Owen Racing Organisation  Yardley Team BRM,BRM,P153 P139,BRM P142 3.0 V12,D,Pedro Rodríguez,All
Owen Racing Organisation  Yardley Team BRM,BRM,P153 P139,BRM P142 3.0 V12,D,George Eaton,"1–3, 5–7, 9–12"
Owen Racing Organisation  Yardley Team BRM,BRM,P153 P139,BRM P142 3.0 V12,D,Peter Westbury,12
Frank Williams Racing Cars,De Tomaso-Ford,505/38,Ford Cosworth DFV 3.0 V8,D,Piers Courage,1–5
Frank Williams Racing Cars,De Tomaso-Ford,505/38,Ford Cosworth DFV 3.0 V8,D,Brian Redman,7–8
Frank Williams Racing Cars,De Tomaso-Ford,505/38,Ford Cosworth DFV 3.0 V8,D,Tim Schenken,9–12
Team Gunston,Lotus-Ford,49,Ford Cosworth DFV 3.0 V8,D,John Love,1
Team Gunston,Brabham-Ford,BT26A,Ford Cosworth DFV 3.0 V8,G,Peter de Klerk,1
Scuderia Scribante,Lotus-Ford,49C,Ford Cosworth DFV 3.0 V8,F,Dave Charlton,1
Antique Automobiles Racing Team  Colin Crabbe Racing,March-Ford,701,Ford Cosworth DFV 3.0 V8,G,Ronnie Peterson,"3–8, 10–12"
Tom Wheatcroft Racing,Brabham-Ford,BT26A,Ford Cosworth DFV 3.0 V8,G,Derek Bell,4
Silvio Moser Racing Team,Bellasi-Ford,F1 70,Ford Cosworth DFV 3.0 V8,G,Silvio Moser,"5–6, 8–10"
Pete Lovely Volkswagen Inc.,Lotus-Ford,49B,Ford Cosworth DFV 3.0 V8,F,Pete Lovely,"5–7, 12"
Hubert Hahne,March-Ford,701,Ford Cosworth DFV 3.0 V8,F,Hubert Hahne,8
Ecurie Bonnier,McLaren-Ford,M7C,Ford Cosworth DFV 3.0 V8,G,Jo Bonnier,"10, 12"
Gus Hutchison,Brabham-Ford,BT26A,Ford Cosworth DFV 3.0 V8,G,Gus Hutchison,12
