Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,South African Grand Prix,Jackie Stewart,Jack Brabham,Jack Brabham,Brabham-Ford,G,Report
2,Spanish Grand Prix,Jack Brabham,Jack Brabham,Jackie Stewart,March-Ford,D,Report
3,Monaco Grand Prix,Jackie Stewart,Jochen Rindt,Jochen Rindt,Lotus-Ford,F,Report
4,Belgian Grand Prix,Jackie Stewart,Chris Amon,Pedro Rodríguez,BRM,D,Report
5,Dutch Grand Prix,Jochen Rindt,Jacky Ickx,Jochen Rindt,Lotus-Ford,F,Report
6,French Grand Prix,Jacky Ickx,Jack Brabham,Jochen Rindt,Lotus-Ford,F,Report
7,British Grand Prix,Jochen Rindt,Jack Brabham,Jochen Rindt,Lotus-Ford,F,Report
8,German Grand Prix,Jacky Ickx,Jacky Ickx,Jochen Rindt,Lotus-Ford,F,Report
9,Austrian Grand Prix,Jochen Rindt,Jacky Ickx  Clay Regazzoni,Jacky Ickx,Ferrari,F,Report
10,Italian Grand Prix,Jacky Ickx,Clay Regazzoni,Clay Regazzoni,Ferrari,F,Report
11,Canadian Grand Prix,Jackie Stewart,Clay Regazzoni,Jacky Ickx,Ferrari,F,Report
12,United States Grand Prix,Jacky Ickx,Jacky Ickx,Emerson Fittipaldi,Lotus-Ford,F,Report
13,Mexican Grand Prix,Clay Regazzoni,Jacky Ickx,Jacky Ickx,Ferrari,F,Report
