Pos,Driver,BRA,SMR,BEL,MON,DET,FRA,GBR,GER,HUN,AUT,ITA,POR,ESP,MEX,JPN,AUS,Points
1,Jonathan Palmer,1,Ret,Ret,1,1,2,1,2,1,3,3,2,Ret,2,1,1,95
2,Philippe Streiff,2,1,2,Ret,Ret,1,Ret,1,2,Ret,1,3,2,3,2,Ret,74
3,Philippe Alliot,,2,1,Ret,Ret,Ret,Ret,3,Ret,2,Ret,Ret,1,1,Ret,Ret,43
4,Ivan Capelli,DNS,Ret,Ret,2,Ret,Ret,Ret,Ret,3,1,2,1,3,Ret,Ret,Ret,38
5,Pascal Fabre,3,3,3,3,2,3,2,Ret,4,NC,DNQ,DNQ,Ret,DNQ,,,35
6,Roberto Moreno,,,,,,,,,,,,,,,Ret,3,4
—,Yannick Dalmas,,,,,,,,,,,,,,4*,3*,2*,0
—,Nicola Larini,,,,,,,,,,,DNQ,,Ret,,,,0
Pos,Driver,BRA,SMR,BEL,MON,DET,FRA,GBR,GER,HUN,AUT,ITA,POR,ESP,MEX,JPN,AUS,Points
