Round,Grand Prix,Circuit,Date
1,Brazilian Grand Prix,"Autodromo Jacarepaguá, Rio de Janeiro",12 April
2,San Marino Grand Prix,"Autodromo Dino Ferrari, Imola",3 May
3,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",17 May
4,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",31 May
5,Detroit Grand Prix,"Detroit Street Circuit, Detroit, Michigan",21 June
6,French Grand Prix,"Paul Ricard Circuit, Le Castellet",5 July
7,British Grand Prix,"Silverstone Circuit, Silverstone",12 July
8,German Grand Prix,"Hockenheimring, Hockenheim",26 July
9,Hungarian Grand Prix,"Hungaroring, Mogyoród",9 August
10,Austrian Grand Prix,"Österreichring, Spielberg",16 August
11,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",6 September
12,Portuguese Grand Prix,"Autódromo do Estoril, Estoril",20 September
13,Spanish Grand Prix,"Circuito de Jerez, Jerez de la Frontera",27 September
14,Mexican Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",18 October
15,Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",1 November
16,Australian Grand Prix,"Adelaide Street Circuit, Adelaide",15 November
