0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Pos. Driver AUS BRA ARG EUR SMR MON ESP CAN FRA GBR GER HUN BEL ITA POR JPN Points 1  Damon Hill 1 1PF 1P 4PF 1F Ret RetP 1P 1 RetP 1PF 2F 5 RetP 2P 1 97 2  Jacques Villeneuve 2PF Ret 2 1 11† Ret 3 2F 2F 1F 3 1 2P 7 1F RetPF 78 3  Michael Schumacher Ret 3 Ret 2 2P RetP 1F Ret DNSP Ret 4 9P† 1 1F 3 2 59 4  Jean Alesi Ret 2 3F Ret 6 RetF 2 3 3 Ret 2 3 4 2 4 Ret 47 5  Mika Häkkinen 5 4 Ret 8 8† 6† 5 5 5 3 Ret 4 3 3 Ret 3 31 6  Gerhard Berger 4 Ret Ret 9 3 Ret Ret Ret 4 2 13† Ret 6F Ret 6 4 21 7  David Coulthard Ret Ret 7 3 Ret 2 Ret 4 6 5 5 Ret Ret Ret 13 8 18 8  Rubens Barrichello Ret Ret 4 5 5 Ret Ret Ret 9 4 6 6 Ret 5 Ret 9 14 9  Olivier Panis 7 6 8 Ret Ret 1 Ret Ret 7 Ret 7 5 Ret Ret 10 7 13 10  Eddie Irvine 3 7 5 Ret 4 7† Ret Ret Ret Ret Ret Ret Ret Ret 5 Ret 11 11  Martin Brundle Ret 12† Ret 6 Ret Ret Ret 6 8 6 10 Ret Ret 4 9 5 8 12  Heinz-Harald Frentzen 8 Ret Ret Ret Ret 4† 4 Ret Ret 8 8 Ret Ret Ret 7 6 7 13  Mika Salo 6 5 Ret DSQ Ret 5† DSQ Ret 10 7 9 Ret 7 Ret 11 Ret 5 14  Johnny Herbert DNS Ret 9 7 Ret 3 Ret 7 DSQ 9 Ret Ret Ret 9† 8 10 4 15  Pedro Diniz 10 8 Ret 10 7 Ret 6 Ret Ret Ret Ret Ret Ret 6 Ret Ret 2 16  Jos Verstappen Ret Ret 6 Ret Ret Ret Ret Ret Ret 10 Ret Ret Ret 8 Ret 11 1 17  Ukyo Katayama 11 9 Ret DSQ Ret Ret Ret Ret Ret Ret Ret 7 8 10 12 Ret 0 18  Ricardo Rosset 9 Ret Ret 11 Ret Ret Ret Ret 11 Ret 11 8 9 Ret 14 13 0 19  Giancarlo Fisichella Ret 13 Ret Ret Ret 8 Ret 11 0 20  Pedro Lamy Ret 10 Ret 12 9 Ret Ret Ret 12 Ret 12 Ret 10 Ret 16 12 0 21  Luca Badoer DNQ 11 Ret DNQ 10 Ret DNQ Ret Ret DNQ DNP 0 22  Giovanni Lavaggi DNQ 10† DNQ Ret 15 DNQ 0 23  Andrea Montermini DNQ Ret 10 DNQ DNQ DNS DNQ Ret Ret DNQ DNP 0 —  Tarso Marques Ret Ret 0 Pos. Driver AUS BRA ARG EUR SMR MON ESP CAN FRA GBR GER HUN BEL ITA POR JPN Points Sources:[66][67][4],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,,,,,,,,
Pos.,Driver,AUS,BRA,ARG,EUR,SMR,MON,ESP,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,JPN,Points
1,Damon Hill,1,1PF,1P,4PF,1F,Ret,RetP,1P,1,RetP,1PF,2F,5,RetP,2P,1,97
2,Jacques Villeneuve,2PF,Ret,2,1,11†,Ret,3,2F,2F,1F,3,1,2P,7,1F,RetPF,78
3,Michael Schumacher,Ret,3,Ret,2,2P,RetP,1F,Ret,DNSP,Ret,4,9P†,1,1F,3,2,59
4,Jean Alesi,Ret,2,3F,Ret,6,RetF,2,3,3,Ret,2,3,4,2,4,Ret,47
5,Mika Häkkinen,5,4,Ret,8,8†,6†,5,5,5,3,Ret,4,3,3,Ret,3,31
6,Gerhard Berger,4,Ret,Ret,9,3,Ret,Ret,Ret,4,2,13†,Ret,6F,Ret,6,4,21
7,David Coulthard,Ret,Ret,7,3,Ret,2,Ret,4,6,5,5,Ret,Ret,Ret,13,8,18
8,Rubens Barrichello,Ret,Ret,4,5,5,Ret,Ret,Ret,9,4,6,6,Ret,5,Ret,9,14
