0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Pos. Constructor No. AUS BRA ARG EUR SMR MON ESP CAN FRA GBR GER HUN BEL ITA POR JPN Points 1  Williams-Renault 5 1 1PF 1P 4PF 1F Ret RetP 1P 1 RetP 1PF 2F 5 RetP 2P 1 175 6 2PF Ret 2 1 11† Ret 3 2F 2F 1F 3 1 2P 7 1F RetPF 2  Ferrari 1 Ret 3 Ret 2 2P RetP 1F Ret DNSP Ret 4 9P† 1 1F 3 2 70 2 3 7 5 Ret 4 7† Ret Ret Ret Ret Ret Ret Ret Ret 5 Ret 3  Benetton-Renault 3 Ret 2 3F Ret 6 RetF 2 3 3 Ret 2 3 4 2 4 Ret 68 4 4 Ret Ret 9 3 Ret Ret Ret 4 2 13† Ret 6F Ret 6 4 4  McLaren-Mercedes 7 5 4 Ret 8 8† 6† 5 5 5 3 Ret 4 3 3 Ret 3 49 8 Ret Ret 7 3 Ret 2 Ret 4 6 5 5 Ret Ret Ret 13 8 5  Jordan-Peugeot 11 Ret Ret 4 5 5 Ret Ret Ret 9 4 6 6 Ret 5 Ret 9 22 12 Ret 12 Ret 6 Ret Ret Ret 6 8 6 10 Ret Ret 4 9 5 6  Ligier-Mugen-Honda 9 7 6 8 Ret Ret 1 Ret Ret 7 Ret 7 5 Ret Ret 10 7 15 10 10 8 Ret 10 7 Ret 6 Ret Ret Ret Ret Ret Ret 6 Ret Ret 7  Sauber-Ford 14 DNS Ret 9 7 Ret 3 Ret 7 DSQ 9 Ret Ret Ret 9† 8 10 11 15 8 Ret Ret Ret Ret 4† 4 Ret Ret 8 8 Ret Ret Ret 7 6 8  Tyrrell-Yamaha 18 11 9 Ret DSQ Ret Ret Ret Ret Ret Ret Ret 7 8 10 12 Ret 5 19 6 5 Ret DSQ Ret 5† DSQ Ret 10 7 9 Ret 7 Ret 11 Ret 9  Footwork-Hart 16 9 Ret Ret 11 Ret Ret Ret Ret 11 Ret 11 8 9 Ret 14 13 1 17 Ret Ret 6 Ret Ret Ret Ret Ret Ret 10 Ret Ret Ret 8 Ret 11 —  Minardi-Ford 20 Ret 10 Ret 12 9 Ret Ret Ret 12 Ret 12 Ret 10 Ret 16 12 0 21 Ret Ret Ret 13 Ret Ret Ret 8 Ret 11 DNQ 10† DNQ Ret 15 DNQ —  Forti-Ford 22 DNQ 11 Ret DNQ 10 Ret DNQ Ret Ret DNQ DNP 0 23 DNQ Ret 10 DNQ DNQ DNS DNQ Ret Ret DNQ DNP Pos. Constructor No. AUS BRA ARG EUR SMR MON ESP CAN FRA GBR GER HUN BEL ITA POR JPN Points Source:[9],,Williams-Renault won the Constructors' Championship with the FW18,,,,,,,,,,,,,,,,,
Pos.,Constructor,No.,AUS,BRA,ARG,EUR,SMR,MON,ESP,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,JPN,Points
1,Williams-Renault,5,1,1PF,1P,4PF,1F,Ret,RetP,1P,1,RetP,1PF,2F,5,RetP,2P,1,175
1,Williams-Renault,6,2PF,Ret,2,1,11†,Ret,3,2F,2F,1F,3,1,2P,7,1F,RetPF,175
2,Ferrari,1,Ret,3,Ret,2,2P,RetP,1F,Ret,DNSP,Ret,4,9P†,1,1F,3,2,70
2,Ferrari,2,3,7,5,Ret,4,7†,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,5,Ret,70
3,Benetton-Renault,3,Ret,2,3F,Ret,6,RetF,2,3,3,Ret,2,3,4,2,4,Ret,68
3,Benetton-Renault,4,4,Ret,Ret,9,3,Ret,Ret,Ret,4,2,13†,Ret,6F,Ret,6,4,68
4,McLaren-Mercedes,7,5,4,Ret,8,8†,6†,5,5,5,3,Ret,4,3,3,Ret,3,49
4,McLaren-Mercedes,8,Ret,Ret,7,3,Ret,2,Ret,4,6,5,5,Ret,Ret,Ret,13,8,49
