vteWorld championships in 2017,vteWorld championships in 2017.1
Summer sports & indoor sports,American football (women) Archery Aquatics diving high diving open water swimming swimming synchronized swimming water polo Athletics cross country Badminton Baseball (men) Basketball (3x3) Beach soccer Beach volleyball Bowls Boxing (men) Canoeing slalom sprint marathon Cricket (women) Cycling road track mountain bike cyclo-cross BMX Urban Fencing Floorball (women) Futsal (AMF women) Gymnastics artistic rhythmic trampoline Handball men women Inline hockey Judo open Minifootball Modern pentathlon Nine-pin bowling Orienteering trail Rowing Rugby league men women Rugby union (women) Shotgun shooting Softball (men) Squash men women Table tennis Taekwondo Weightlifting Windsurfing Wrestling Wushu
Winter sports,Alpine skiing Bandy (men) Biathlon Bobsleigh / skeleton Curling men women mixed mixed doubles Figure skating Freestyle skiing / snowboarding Ice hockey men women Luge Nordic skiing Speed skating allround sprint single distances short track
Cue & mind sports,Chess women rapid blitz Darts BDO PDC Draughts men women rapid / blitz Russian version Pool Nine-ball Snooker six-red
Motor sports,Air race Endurance racing F1 Powerboat Formula One Motocross men women team MotoGP Moto2 Moto3 Radio-controlled 1:10 off-road Rally Rallycross Speedway individual team Sidecarcross Superbike Supersport Touring car
