Entrant,Constructor,Chassis,Power unit,Race drivers,Race drivers,Race drivers
Entrant,Constructor,Chassis,Power unit,No.,Driver name,Rounds
Scuderia Ferrari,Ferrari,SF70H[9],Ferrari 062[10],5 7,Sebastian Vettel  Kimi Räikkönen,All All
Sahara Force India F1 Team,Force India-Mercedes,VJM10[11],Mercedes M08 EQ Power+[12],11 31,Sergio Pérez  Esteban Ocon,All All
Haas F1 Team,Haas-Ferrari,VF-17[13],Ferrari 062[10],8 20,Romain Grosjean  Kevin Magnussen,All All
McLaren Honda Formula 1 Team,McLaren-Honda,MCL32[14],Honda RA617H[15],2 14 22,Stoffel Vandoorne  Fernando Alonso  Jenson Button,"All 1–5, 7–20 6"
Mercedes AMG Petronas F1 Team,Mercedes,F1 W08 EQ Power+[12],Mercedes M08 EQ Power+[12],44 77,Lewis Hamilton  Valtteri Bottas,All All
Red Bull Racing,Red Bull Racing-TAG Heuer,RB13[16],TAG Heuer F1-2017[17][N 1],3 33,Daniel Ricciardo  Max Verstappen,All All
Renault Sport Formula One Team,Renault,R.S.17[19],Renault R.E.17[19],27 30 55,Nico Hülkenberg  Jolyon Palmer  Carlos Sainz Jr.,All 1–16 17–20
Sauber F1 Team,Sauber-Ferrari,C36[20],Ferrari 061[21],9 94 36,Marcus Ericsson  Pascal Wehrlein  Antonio Giovinazzi,"All 1, 3–20[N 2] 1–2"
Scuderia Toro Rosso,Toro Rosso,STR12[23],Toro Rosso[17][N 3],26 10 28 55,Daniil Kvyat  Pierre Gasly  Brendon Hartley[N 4]  Carlos Sainz Jr.,"1–14, 17 15–16, 18–20 17–20 1–16"
Williams Martini Racing,Williams-Mercedes,FW40[25],Mercedes M08 EQ Power+[12],18 19 40,Lance Stroll  Felipe Massa  Paul di Resta,All All[N 5] 11
Sources:[27][28][29][30][26][31][32][33][34][35],Sources:[27][28][29][30][26][31][32][33][34][35],Sources:[27][28][29][30][26][31][32][33][34][35],Sources:[27][28][29][30][26][31][32][33][34][35],Sources:[27][28][29][30][26][31][32][33][34][35],Sources:[27][28][29][30][26][31][32][33][34][35],Sources:[27][28][29][30][26][31][32][33][34][35]
