Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,Monaco Grand Prix,Stirling Moss,Jack Brabham,Jack Brabham,Cooper-Climax,D,Report
2,Indianapolis 500,Johnny Thomson,Johnny Thomson,Rodger Ward,Watson-Offenhauser,F,Report
3,Dutch Grand Prix,Jo Bonnier,Stirling Moss,Jo Bonnier,BRM,D,Report
4,French Grand Prix,Tony Brooks,Stirling Moss,Tony Brooks,Ferrari,D,Report
5,British Grand Prix,Jack Brabham,Stirling Moss  Bruce McLaren,Jack Brabham,Cooper-Climax,D,Report
6,German Grand Prix,Tony Brooks,Tony Brooks,Tony Brooks,Ferrari,D,Report
7,Portuguese Grand Prix,Stirling Moss,Stirling Moss,Stirling Moss,Cooper-Climax,D,Report
8,Italian Grand Prix,Stirling Moss,Phil Hill,Stirling Moss,Cooper-Climax,D,Report
9,United States Grand Prix,Stirling Moss,Maurice Trintignant,Bruce McLaren,Cooper-Climax,D,Report
