Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Dr Ing F. Porsche KG,Behra-Porsche-Porsche,RSK,Porsche 547/3 1.5 F4,D,Maria Teresa de Filippis,1
Dr Ing F. Porsche KG,Porsche,718 RSK 718/2,Porsche 547/3 1.5 F4,D,Wolfgang von Trips,"1, 6"
Equipe Nationale Belge,Cooper-Climax,T51,Climax FPF 1.5 L4,D,Lucien Bianchi,1
Equipe Nationale Belge,Cooper-Climax,T51,Climax FPF 1.5 L4,D,Alain de Changy,1
Jean Lucienbonnet,Cooper-Climax,T45,Climax FPF 1.5 L4,D,Jean Lucienbonnet,1
Owen Racing Organisation,BRM,P25,BRM P25 2.5 L4,D,Harry Schell,"1, 3–8"
Owen Racing Organisation,BRM,P25,BRM P25 2.5 L4,D,Jo Bonnier,"1, 3–8"
Owen Racing Organisation,BRM,P25,BRM P25 2.5 L4,D,Ron Flockhart,"1, 4–5, 7–8"
Cooper Car Company,Cooper-Climax,T51,Climax FPF 2.5 L4,D,Bruce McLaren,"1, 4–9"
Cooper Car Company,Cooper-Climax,T51,Climax FPF 2.5 L4,D,Jack Brabham,"1, 3–9"
Cooper Car Company,Cooper-Climax,T51,Climax FPF 2.5 L4,D,Masten Gregory,"1, 3–7"
Cooper Car Company,Cooper-Climax,T51,Climax FPF 2.5 L4,D,Giorgio Scarlatti,8
R.R.C. Walker Racing Team,Cooper-Climax,T51,Climax FPF 2.5 L4,D,Stirling Moss,"1, 3, 6–9"
R.R.C. Walker Racing Team,Cooper-Climax,T51,Climax FPF 2.5 L4,D,Maurice Trintignant,"1, 3–9"
British Racing Partnership,BRM,P25,BRM P25 2.5 L4,D,Stirling Moss,4–5
British Racing Partnership,BRM,P25,BRM P25 2.5 L4,D,Hans Herrmann,6
British Racing Partnership,Cooper-Climax,T51,Climax FPF 1.5 L4,D,Ivor Bueb,1
British Racing Partnership,Cooper-Borgward,T51,Borgward 1500 RS 1.5 L4,D,Ivor Bueb,5
British Racing Partnership,Cooper-Borgward,T51,Borgward 1500 RS 1.5 L4,D,Chris Bristow,5
High Efficiency Motors,Cooper-Maserati,T45,Maserati 250S 2.5 L4,D,Roy Salvadori,"1, 4, 9"
High Efficiency Motors,Cooper-Maserati,T45,Maserati 250S 2.5 L4,D,Jack Fairman,8
High Efficiency Motors,Cooper-Climax,T45,Climax FPF 2.5 L4,D,Jack Fairman,5
Team Lotus,Lotus-Climax,16,Climax FPF 2.5 L4,D,Graham Hill,"1, 3–8"
Team Lotus,Lotus-Climax,16,Climax FPF 2.5 L4,D,Pete Lovely,1
Team Lotus,Lotus-Climax,16,Climax FPF 2.5 L4,D,Innes Ireland,"3–4, 6–9"
Team Lotus,Lotus-Climax,16,Climax FPF 2.5 L4,D,Alan Stacey,"5, 9"
John Fisher,Lotus-Climax,16,Climax FPF 1.5 L4,D,Bruce Halford,1
