Round,Grand Prix,Circuit,Date
1,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",10 May
2,Indianapolis 500,"Indianapolis Motor Speedway, Speedway",30 May[a]
3,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",31 May
4,French Grand Prix,"Reims-Gueux, Gueux",5 July
5,British Grand Prix,"Aintree Motor Racing Circuit, Merseyside",18 July
6,German Grand Prix,"AVUS, Berlin",2 August
7,Portuguese Grand Prix,"Monsanto Park Circuit, Lisbon",23 August
8,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",13 September
9,United States Grand Prix,"Sebring International Raceway, Highlands County, Florida",12 December
