"Nom du circuit,""Lien du circuit"",""Lieu"",""Courses"",""Années d'activité"",""Nombre de Grands Prix"""
"Circuit Permanent du Jarama,""https://fr.wikipedia.org/wiki/Circuit_Permanent_du_Jarama"",""San Sebastián de los Reyes"",""Grand Prix d'Espagne"",""1968, 1970...(1968, 1970, 1972, 1974, 1976-1979, 1981)"",""9"""
"Circuit Permanent de Jerez,""https://fr.wikipedia.org/wiki/Circuit_Permanent_de_Jerez"",""Jerez de la Frontera"",""Grand Prix d'Espagne, Grand Prix d'Europe"",""1986-1990...(1986-1990, 1994, 1997)"",""7"""
"Circuit José Carlos Pace d'Interlagos,""https://fr.wikipedia.org/wiki/Autodromo_Jos%C3%A9_Carlos_Pace"",""São Paulo"",""Grand Prix du Brésil"",""1973-1977...(1973-1977, 1979-1980, 1990-2019,2021-2025)"",""42"""
"Circuit de Kyalami,""https://fr.wikipedia.org/wiki/Circuit_de_Kyalami"",""Kyalami"",""Grand Prix d'Afrique du Sud"",""1967-1980...(1967-1980, 1982-1985, 1992-1993)"",""20"""
"Circuit urbain de Long Beach,""https://fr.wikipedia.org/wiki/Circuit_urbain_de_Long_Beach"",""Long Beach"",""Grand Prix des États-Unis Ouest"",""1976-1983"",""8"""
"Circuit international de Losail,""https://fr.wikipedia.org/wiki/Circuit_international_de_Losail"",""Losail"",""Grand Prix automobile du Qatar"",""2021-2023-2025"",""4"""
"Circuit de Nevers Magny-Cours,""https://fr.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours"",""Magny-Cours"",""Grand Prix de France"",""1991-2008"",""18"""
"Autodrome international de Miami,""https://fr.wikipedia.org/wiki/Autodrome_international_de_Miami"",""Miami Gardens"",""Grand Prix de Miami"",""2022-2025"",""4"""
"Circuit du parc de Monsanto,""https://fr.wikipedia.org/wiki/Circuit_du_parc_de_Monsanto"",""Lisbonne"",""Grand Prix du Portugal"",""1959"",""1"""
"Circuit de Monaco,""https://fr.wikipedia.org/wiki/Circuit_de_Monaco"",""Monaco"",""Grand Prix de Monaco"",""1950...(1950, 1955-2019-2025)"",""71"""
"Circuit de Montjuïc,""https://fr.wikipedia.org/wiki/Circuit_de_Montju%C3%AFc"",""Barcelone"",""Grand Prix d'Espagne"",""1969...(1969, 1971, 1973, 1975)"",""4"""
"Circuit Mont-Tremblant,""https://fr.wikipedia.org/wiki/Circuit_Mont-Tremblant"",""Mont Tremblant"",""Grand Prix du Canada"",""1968, 1970"",""2"""
"Circuit de Monza,""https://fr.wikipedia.org/wiki/Autodromo_Nazionale_di_Monza"",""Monza"",""Grand Prix d'Italie"",""1950-1979...(1950-1979, 1981-2025)"",""75"""
"Circuit du Mugello,""https://fr.wikipedia.org/wiki/Circuit_du_Mugello"",""Mugello"",""Grand Prix de Toscane"",""2020(description)"",""1"""
"Circuit Mosport Park,""https://fr.wikipedia.org/wiki/Circuit_Mosport_Park"",""Bowmanville"",""Grand Prix du Canada"",""1967...(1967, 1969, 1971--1977)"",""8"""
"Circuit de Nivelles-Baulers,""https://fr.wikipedia.org/wiki/Circuit_de_Nivelles-Baulers"",""Nivelles"",""Grand Prix de Belgique"",""1972, 1974"",""2"""
"Nürburgring,""https://fr.wikipedia.org/wiki/N%C3%BCrburgring"",""Nürburg"",""Grand Prix d'Allemagne, Grand Prix d'Europe, Grand Prix du Luxembourg, Grand Prix de l'Eifel"",""1951-1958...(1951-1954, 1956-1958, 1961-1970, 1971-1976, 1984-1985, 1995-2007, 2009, 2011, 2013, 2020)"",""41"""
"Circuit Juan et Oscar Gálvez,""https://fr.wikipedia.org/wiki/Circuit_Oscar_Alfredo_Galvez"",""Buenos Aires"",""Grand Prix d'Argentine"",""1953-1958...(1953-1958, 1960, 1972-1975, 1977-1981, 1995-1998)"",""20"""
"Red Bull Ring,""https://fr.wikipedia.org/wiki/Red_Bull_Ring"",""Spielberg"",""Grand Prix d'Autriche, Grand Prix de Styrie"",""1970-1987...(1970-1987, 1997-2003, 2014-2025, Styrie 2020-2021)"",""39"""
"Circuit Paul Ricard,""https://fr.wikipedia.org/wiki/Circuit_Paul_Ricard"",""Le Castellet"",""Grand Prix de France"",""1971...(1971, 1973, 1975-1976, 1978, 1980, 1982-1983, 1985-1990, 2018-2019-2022)"",""18"""
"Circuit de Pedralbes,""https://fr.wikipedia.org/wiki/Circuit_de_Pedralbes"",""Barcelone"",""Grand Prix d'Espagne"",""1951, 1954"",""2"""
"Circuit de Pescara,""https://fr.wikipedia.org/wiki/Circuit_de_Pescara"",""Pescara"",""Grand Prix de Pescara"",""1957"",""1"""
"Circuit urbain de Phoenix,""https://fr.wikipedia.org/wiki/Circuit_urbain_de_Phoenix"",""Phoenix"",""Grand Prix des États-Unis"",""1989-1991"",""3"""
"Autódromo Internacional do Algarve,""https://fr.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_do_Algarve"",""Portimão"",""Grand Prix du Portugal"",""2020-2021"",""2"""
"Circuit Prince George,""https://fr.wikipedia.org/wiki/Circuit_Prince_George"",""East London"",""Grand Prix d'Afrique du Sud"",""1962...(1962-1963, 1965)"",""3"""
