Entrant,Constructor,Chassis,Engine,No,Driver,Rounds
Rothmans Williams Renault,Williams-Renault,FW16 FW16B,Renault RS6 3.5 V10,0[a],Damon Hill,All
Rothmans Williams Renault,Williams-Renault,FW16 FW16B,Renault RS6 3.5 V10,2,Ayrton Senna,1–3
Rothmans Williams Renault,Williams-Renault,FW16 FW16B,Renault RS6 3.5 V10,2,David Coulthard,"5–6, 8–13"
Rothmans Williams Renault,Williams-Renault,FW16 FW16B,Renault RS6 3.5 V10,2,Nigel Mansell,"7, 14–16"
Tyrrell,Tyrrell-Yamaha,022,Yamaha OX10B 3.5 V10,3,Ukyo Katayama,All
Tyrrell,Tyrrell-Yamaha,022,Yamaha OX10B 3.5 V10,4,Mark Blundell,All
Mild Seven Benetton Ford,Benetton-Ford,B194,Ford EC Zetec-R 3.5 V8,5,Michael Schumacher,"1–11, 14–16"
Mild Seven Benetton Ford,Benetton-Ford,B194,Ford EC Zetec-R 3.5 V8,5,JJ Lehto,12–13
Mild Seven Benetton Ford,Benetton-Ford,B194,Ford EC Zetec-R 3.5 V8,6,Jos Verstappen,"1–2, 7–14"
Mild Seven Benetton Ford,Benetton-Ford,B194,Ford EC Zetec-R 3.5 V8,6,JJ Lehto,3–6
Mild Seven Benetton Ford,Benetton-Ford,B194,Ford EC Zetec-R 3.5 V8,6,Johnny Herbert,15–16
Marlboro McLaren Peugeot,McLaren-Peugeot,MP4/9,Peugeot A6 3.5 V10,7,Mika Häkkinen,"1–9, 11–16"
Marlboro McLaren Peugeot,McLaren-Peugeot,MP4/9,Peugeot A6 3.5 V10,7,Philippe Alliot,10
Marlboro McLaren Peugeot,McLaren-Peugeot,MP4/9,Peugeot A6 3.5 V10,8,Martin Brundle,All
Footwork Ford,Footwork-Ford,FA15,Ford HBE7 / Ford HBE8 3.5 V8,9,Christian Fittipaldi,All
Footwork Ford,Footwork-Ford,FA15,Ford HBE7 / Ford HBE8 3.5 V8,10,Gianni Morbidelli,All
Team Lotus,Lotus-Mugen-Honda,107C 109,Mugen Honda MF-351HC 3.5 V10 Mugen Honda MF-351HD 3.5 V10,11,Pedro Lamy,1–4
Team Lotus,Lotus-Mugen-Honda,107C 109,Mugen Honda MF-351HC 3.5 V10 Mugen Honda MF-351HD 3.5 V10,11,Alessandro Zanardi,"5–10, 12"
