Pos.,Driver,BRA,PAC,SMR,MON,ESP,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,EUR,JPN,AUS,Points
1,Michael Schumacher,1F,1F,1,1PF,2PF,1PF,1,DSQ,Ret,1PF,DSQ,,,1PF,2P,RetF,92
2,Damon Hill,2,Ret,6F,Ret,1,2,2PF,1PF,8,2,1F,1F,1,2,1F,Ret,91
3,Gerhard Berger,Ret,2,Ret,3,Ret,4,3,Ret,1P,12†,Ret,2,RetP,5,Ret,2,41
4,Mika Häkkinen,Ret,Ret,3,Ret,Ret,Ret,Ret,3,Ret,,2,3,3,3,7,12†,26
5,Jean Alesi,3,,,5,4,3,Ret,2,Ret,Ret,Ret,RetP,Ret,10,3,6,24
6,Rubens Barrichello,4,3,DNQ,Ret,Ret,7,Ret,4,Ret,Ret,RetP,4,4,12,Ret,4,19
7,Martin Brundle,Ret,Ret,8,2,11†,Ret,Ret,Ret,Ret,4†,Ret,5,6,Ret,Ret,3,16
8,David Coulthard,,,,,Ret,5,,5,RetF,Ret,4,6†,2F,,,,14
9,Nigel Mansell,,,,,,,Ret,,,,,,,Ret,4,1P,13
10,Jos Verstappen,Ret,Ret,,,,,Ret,8,Ret,3,3,Ret,5,Ret,,,10
11,Olivier Panis,11,9,11,9,7,12,Ret,12,2,6,7,10,DSQ,9,11,5,9
12,Mark Blundell,Ret,Ret,9,Ret,3,10†,10,Ret,Ret,5,5,Ret,Ret,13,Ret,Ret,8
13,Heinz-Harald Frentzen,Ret,5,7,WD,Ret,Ret,4,7,Ret,Ret,Ret,Ret,Ret,6,6,7,7
14,Nicola Larini,,Ret,2,,,,,,,,,,,,,,6
15,Christian Fittipaldi,Ret,4,13†,Ret,Ret,DSQ,8,9,4,14†,Ret,Ret,8,17,8,8,6
16,Eddie Irvine,Ret,,,,6,Ret,Ret,DNS,Ret,Ret,13†,Ret,7,4,5,Ret,6
17,Ukyo Katayama,5,Ret,5,Ret,Ret,Ret,Ret,6,Ret,Ret,Ret,Ret,Ret,7,Ret,Ret,5
18,Éric Bernard,Ret,10,12,Ret,8,13,Ret,13,3,10,10,7,10,18,,,4
19,Karl Wendlinger,6,Ret,4,DNS,,,,,,,,,,,,,4
20,Andrea de Cesaris,,,Ret,4,,Ret,6,Ret,Ret,Ret,Ret,Ret,Ret,Ret,,,4
21,Pierluigi Martini,8,Ret,Ret,Ret,5,9,5,10,Ret,Ret,8,Ret,12,15,Ret,9,4
22,Gianni Morbidelli,Ret,Ret,Ret,Ret,Ret,Ret,Ret,Ret,5,Ret,6,Ret,9,11,Ret,Ret,3
23,Érik Comas,9,6,Ret,10,Ret,Ret,11†,Ret,6,8,Ret,8,Ret,Ret,9,,2
24,JJ Lehto,,,Ret,7,Ret,6,,,,,,9,Ret,,Ret,10,1
25,Michele Alboreto,Ret,Ret,Ret,6,Ret,11,Ret,Ret,Ret,7,9,Ret,13,14,Ret,Ret,1
—,Johnny Herbert,7,7,10,Ret,Ret,8,7,11,Ret,Ret,12,Ret,11,8,Ret,Ret,0
—,Olivier Beretta,Ret,Ret,Ret,8,DNS,Ret,Ret,14,7,9,,,,,,,0
—,Pedro Lamy,10,8,Ret,11,,,,,,,,,,,,,0
—,Jean-Marc Gounon,,,,,,,9,16,Ret,Ret,11,Ret,15,,,,0
—,Alessandro Zanardi,,,,,9,15,Ret,Ret,Ret,13,,Ret,,16,13,Ret,0
—,David Brabham,12,Ret,Ret,Ret,10,14,Ret,15,Ret,11,Ret,Ret,Ret,Ret,12,Ret,0
—,Mika Salo,,,,,,,,,,,,,,,10,Ret,0
—,Roland Ratzenberger,DNQ,11,DNS[e],,,,,,,,,,,,,,0
—,Franck Lagorce,,,,,,,,,,,,,,,Ret,11,0
—,Yannick Dalmas,,,,,,,,,,,,Ret,14,,,,0
—,Philippe Adams,,,,,,,,,,,Ret,,16,,,,0
—,Domenico Schiattarella,,,,,,,,,,,,,,19,,Ret,0
—,Bertrand Gachot,Ret,DNQ,Ret,Ret,Ret,Ret,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,0
—,Ayrton Senna,RetP,RetP,RetP[f],,,,,,,,,,,,,,0
—,Hideki Noda,,,,,,,,,,,,,,Ret,Ret,Ret,0
—,Paul Belmondo,DNQ,DNQ,DNQ,Ret,Ret,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,0
—,Philippe Alliot,,,,,,,,,,Ret,Ret,,,,,,0
—,Aguri Suzuki,,Ret,,,,,,,,,,,,,,,0
—,Taki Inoue,,,,,,,,,,,,,,,Ret,,0
—,Jean-Denis Délétraz,,,,,,,,,,,,,,,,Ret,0
—,Andrea Montermini,,,,,DNQ,,,,,,,,,,,,0
Pos.,Driver,BRA,PAC,SMR,MON,ESP,CAN,FRA,GBR,GER,HUN,BEL,ITA,POR,EUR,JPN,AUS,Points
