Pos,Driver,ARG,BRA,RSA,ESP‡,MON,BEL,SWE,Unnamed: 9,NED,FRA,GBR,GER,AUT‡,ITA,USA,Pts
—,Renzo Zorzi,,,,,,,,,,,,,14,,0,
—,Brian Henton,,,,,,,,,,16,,DNS,,NC,0,
—,John Nicholson,,,,,,,,,,17,,,,,0,
—,Dave Morgan,,,,,,,,,,18,,,,,0,
—,Roelof Wunderink,,,,Ret,DNQ,,,,,DNQ,,NC,DNQ,Ret,0,
—,François Migault,,,,NC,,Ret,,,DNS,,,,,,0,
—,Mike Wilds,Ret,Ret,,,,,,,,,,,,,0,
—,Vern Schuppan,,,,,,,Ret,,,,,,,,0,
—,Ian Ashley,,,,,,,,,,,DNS,,,,0,
—,Jo Vonlanthen,,,,,,,,,,,,Ret,,,0,
—,Michel Leclère,,,,,,,,,,,,,,Ret,0,
—,Hiroshi Fushida,,,,,,,,DNS,,DNQ,,,,,0,
—,Tony Trimmer,,,,,,,,,,,DNQ,DNQ,DNQ,,0,
Pos,Driver,ARG,BRA,RSA,ESP‡,MON,BEL,SWE,NED,FRA,GBR,GER,AUT‡,ITA,USA,Pts,
