Pos,Constructor,ARG,BRA,RSA,ESP‡,MON,BEL,SWE,Unnamed: 9,NED,FRA,GBR,GER,AUT‡,ITA,USA,Pts[19]
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,Ferrari,4,4,5,NC,1,1,1,2,1,8,3,6,1,1,72.5,
2,Brabham-Ford,3,1,2,(3),3,3,2,4,14,2,1,14,4,Ret,54 (56),
3,McLaren-Ford,1,2,6,1,2,7,8,Ret,3,1,Ret,4,2,2,53,
4,Hesketh-Ford,2,6,Ret,Ret,Ret,Ret,10,1,2,4,8,2,5,4,33,
5,Tyrrell-Ford,5,Ret,1,Ret,5,2,7,9,6,3,9,8,7,6,25,
6,Shadow-Ford,12,Ret,9,4,Ret,6,Ret,6,8,14,4,3,6,NC,9.5,
7,Lotus-Ford,8,9,10,2,4,Ret,9,15,10,16,Ret,5,13,5,9,
8,March-Ford,9,Ret,Ret,5,Ret,Ret,Ret,14,18,5,7,1,Ret,7,7.5,
9,Williams-Ford,NC,11,NC,7,DNQ,Ret,14,12,11,Ret,2,Ret,14,DNS,6,
10,Parnelli-Ford,Ret,7,17,Ret,Ret,,4,,5,12,10,Ret,Ret,Ret,5,
11,Hill-Ford,,,,NC,DNQ,Ret,6,7,7,10,5,15,Ret,Ret,3,
12,Penske-Ford,7,Ret,8,Ret,Ret,11,5,8,Ret,,,,,9,2,
13,Ensign-Ford,,,,,DNQ,,,10,15,DNQ,6,12,12,Ret,1,
—,Lola-Ford,10,12,7,,DNQ,,,,,,,,,,0,
—,Surtees-Ford,DSQ,10,Ret,8,Ret,10,16,Ret,13,11,,10,,,0,
—,BRM,Ret,Ret,15,Ret,DNQ,9,13,Ret,17,,,Ret,Ret,,0,
—,Fittipaldi-Ford,Ret,13,DNQ,Ret,DNQ,12,17,11,Ret,19,Ret,DNS,11,10,0,
—,Lyncar-Ford,,,,,,,,,,17,,,,,0,
—,Shadow-Matra,,,,,,,,,,,,Ret,Ret,,0,
—,Maki-Ford,,,,,,,,DNS,,DNQ,DNQ,DNQ,DNQ,,0,
Pos,Constructor,ARG,BRA,RSA,ESP‡,MON,BEL,SWE,NED,FRA,GBR,GER,AUT‡,ITA,USA,Pts,
