vteWorld championships in 2025,vteWorld championships in 2025.1
Summer sports and indoor sports,American football Archery Aquatics artistic swimming diving high diving open water swimming swimming water polo Athletics indoor outdoor relay Badminton individual team Basketball (3x3) Beach soccer (men) Beach volleyball Bowls indoor WBT indoor WB/IIBC ninepin Boxing World Boxing IBA men IBA women Canoeing slalom sprint marathon Cricket ODI men CT Test Men ODI women Cycling BMX cyclo-cross mountain bike road track urban Fencing Floorball (women) Futsal (women) Gymnastics artistic rhythmic trampoline Handball men women Indoor hockey men women Judo Karate Minifootball Modern pentathlon Orienteering Real tennis men women Rowing Rugby union (women) Socca Sport climbing Softball (men) Squash men women Surfing Table tennis Taekwondo Volleyball men women Weightlifting Wrestling Wushu
Winter sports,Alpine skiing Bandy men women Biathlon Bobsleigh / Skeleton Curling men women mixed doubles Figure skating Freestyle skiing Ice hockey men women Luge Nordic skiing Ski mountaineering Snowboarding Speed skating single distances short track
Para sports,Para archery Para athletics Para canoe Para-cycling road track Para ice hockey men women Para nordic skiing Para powerlifting Para rowing Para sport climbing Para swimming Sitting volleyball men women
Cue and mind sports,Chess women Draughts open women Darts PDC WDF Pool nine-ball ten-ball Snooker open women
Motor sports,Air Sports F3P Endurance auto racing Endurance moto racing Superstock Enduro Beach Racing Formula E Formula One Motocross men women team MotoGP Moto2 Moto3 MotoE Rally Rallycross Rally raid FIA Bajas FIM Bajas Sidecarcross Speedway individual team longtrack Superbike Supersport Supersport 300 Women Supercross
