0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Pos. Constructor AUS CHN JPN BHR SAU MIA EMI MON ESP CAN AUT GBR BEL HUN NED ITA AZE SIN USA MXC SAP LVG QAT ABU Points 1  McLaren-Mercedes 1PF 12 P 2 1PF 1 12 2 1PF 1PF 4 1P 1 12 1 1PF 2F 7 3 2 1P 11 P DSQP 21 P F 2 833 9 28 F 3 3 4F 21 F 3P 3 2 18† 2F 2F 23 P 2 18† 3 Ret 4 5 5 5 DSQ 43 3 2  Mercedes 3 34 5 2 5 34 7 11 4 1PF 5 10 5 3F 4 5 2 1P 62 6 22 2 56 5 469 4 67 6F 11 6 67 Ret 18 Ret 3 Ret Ret 16F 10 16 9 4 5 138 F 7F 43 3 62 15 3  Red Bull Racing-Honda RBPT 2 43 1P 6 2P 4P 1F 4 10 2 16 5P 41 9 2 1P 1PF 2 11 P 3 34 1F 14 1P 451 Ret 12 12 9 Ret 106 10 17 13 12 Ret 15 13 17 9 13 6 12 77 11 17 12 105 14 4  Ferrari 8 DSQ1 4 4 3 7 4 2 3 5 3 4 34 4P Ret 4 8 6 35 2 Ret5 4 8 4F 398 10 DSQ5 7 5 7 83 6 5 6 6 4 14 7 12 Ret 6 9 8F 44 8 Ret7 8 12 8 5  Williams-Mercedes 5 7 9 12 8 5 5 9 14 10 Ret 8 6 14 5 7 3 10 146 12 11F 5 38 13 137 Ret 10 14 Ret 9 9 8 10 Ret Ret DNS 12 186 15 13 11 13 14 Ret3 17† 13 Ret 11 16 6  Racing Bulls-Honda RBPT 12 11 8 13 10 11 9 6 7 16 6 Ret 8 8 3 10 5 11 11 13 7 6 9 17 92 DNS 166 17 16 12 Ret 14 8 11 Ret 12 Ret 208 11 12 14 10 15 16 Ret 8 14 18† 18 7  Aston Martin Aramco-Mercedes 6 9 11 15 11 15 11 15 9 7 7 7 14 5 7 18 15 7 10 14 146 11 77 6 89 Ret Ret 20 17 16 165 15 Ret WD 17 14 9 17 7 8 Ret 17 13 12 Ret 16 Ret 17† 10 8  Haas-Ferrari 13 5 10 8 13 12 17 7 16 9 10 11 117 16 6 12 12 9 9 4 6 9 15 7 79 14 8 18 10 14 Ret Ret 12 17 11 11 13 155 Ret 10 15 14 18 15 9 12 10 Ret 12 9  Kick Sauber-Ferrari 7 14 16 18 15 14 12 14 5 8 8 3 9 6 14 8 11 17 8 10 9 7 13 9 70 Ret 15 19 DSQ 18 Ret 18 16 12 14 9 Ret 12 13 15 DNS 16 20 18 Ret Ret Ret Ret 11 10  Alpine-Renault 11 13 13 7 17 138 13 13 8 13 13 6 10 18 11 16 18 16 17 15 108 13 14 19 22 Ret DSQ 15 14 Ret Ret 16 Ret 15 15 15 DNS 19 19 17 17 19 19 19 16 15 15 16 20 Pos. Constructor AUS CHN JPN BHR SAU MIA EMI MON ESP CAN AUT GBR BEL HUN NED ITA AZE SIN USA MXC SAP LVG QAT ABU Points Sources:[147][148][149][144],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap Superscript number Points-scoring position in sprint",,,,,,,,,,,,,,,,,,,,,,,,,
Pos.,Constructor,AUS,CHN,JPN,BHR,SAU,MIA,EMI,MON,ESP,CAN,AUT,GBR,BEL,HUN,NED,ITA,AZE,SIN,USA,MXC,SAP,LVG,QAT,ABU,Points
1,McLaren-Mercedes,1PF,12 P,2,1PF,1,12,2,1PF,1PF,4,1P,1,12,1,1PF,2F,7,3,2,1P,11 P,DSQP,21 P F,2,833
1,McLaren-Mercedes,9,28 F,3,3,4F,21 F,3P,3,2,18†,2F,2F,23 P,2,18†,3,Ret,4,5,5,5,DSQ,43,3,833
2,Mercedes,3,34,5,2,5,34,7,11,4,1PF,5,10,5,3F,4,5,2,1P,62,6,22,2,56,5,469
2,Mercedes,4,67,6F,11,6,67,Ret,18,Ret,3,Ret,Ret,16F,10,16,9,4,5,138 F,7F,43,3,62,15,469
3,Red Bull Racing-Honda RBPT,2,43,1P,6,2P,4P,1F,4,10,2,16,5P,41,9,2,1P,1PF,2,11 P,3,34,1F,14,1P,451
3,Red Bull Racing-Honda RBPT,Ret,12,12,9,Ret,106,10,17,13,12,Ret,15,13,17,9,13,6,12,77,11,17,12,105,14,451
4,Ferrari,8,DSQ1,4,4,3,7,4,2,3,5,3,4,34,4P,Ret,4,8,6,35,2,Ret5,4,8,4F,398
4,Ferrari,10,DSQ5,7,5,7,83,6,5,6,6,4,14,7,12,Ret,6,9,8F,44,8,Ret7,8,12,8,398
