0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Pos Driver ARG BRA RSA USW ESP MON BEL SWE FRA GBR GER AUT NED ITA USA CAN JPN Pts 1  Niki Lauda Ret 3 1 2 DNS 2 2 Ret 5 2 1 2 1 2 4 72 2  Jody Scheckter 1 Ret 2 3 3 1 Ret Ret Ret Ret 2 Ret 3 Ret 3 1 10 55 3  Mario Andretti 5 Ret Ret 1 1 5 Ret 6 1 14 Ret Ret Ret 1 2 9 Ret 47 4  Carlos Reutemann 3 1 8 Ret 2 3 Ret 3 6 15 4 4 6 Ret 6 Ret 2 42 5  James Hunt Ret 2 4 7 Ret Ret 7 12 3 1 Ret Ret Ret Ret 1 Ret 1 40 6  Jochen Mass Ret Ret 5 Ret 4 4 Ret 2 9 4 Ret 6 Ret 4 Ret 3 Ret 25 7  Alan Jones Ret Ret 6 5 17 Ret 7 Ret 1 Ret 3 Ret 4 4 22 8  Gunnar Nilsson DNS 5 12 8 5 Ret 1 19 4 3 Ret Ret Ret Ret Ret Ret Ret 20 =[9]  Patrick Depailler Ret Ret 3 4 Ret Ret 8 4 Ret Ret Ret 13 Ret Ret 14 2 3 20 10  Jacques Laffite NC Ret Ret 9 7 7 Ret 1 8 6 Ret Ret 2 8 7 Ret 5 18 11  Hans-Joachim Stuck Ret Ret 6 Ret 6 10 Ret 5 3 3 7 Ret Ret Ret 7 12 12  Emerson Fittipaldi 4 4 10 5 14 Ret Ret 18 11 Ret DNQ 11 4 DNQ 13 Ret 11 13  John Watson Ret Ret 6 DSQ Ret Ret Ret 5 2 Ret Ret 8 Ret Ret 12 Ret Ret 9 14  Ronnie Peterson Ret Ret Ret Ret 8 Ret 3 Ret 12 Ret 9 5 Ret 6 16 Ret Ret 7 15  Carlos Pace 2 Ret 13 6 =  Vittorio Brambilla 7 Ret 7 Ret Ret 8 4 Ret 13 8 5 15 12 Ret 19 6 8 6 17  Clay Regazzoni 6 Ret 9 Ret Ret DNQ Ret 7 7 DNQ Ret Ret Ret 5 5 Ret Ret 5 =  Patrick Tambay DNQ Ret 6 Ret 5 Ret DNQ 5 Ret 5 19  Jean-Pierre Jarier 6 DNQ 11 11 8 Ret 9 Ret 14 Ret Ret 9 Ret 1 =  Riccardo Patrese 9 Ret Ret Ret 10 13 Ret 10 6 1 =  Renzo Zorzi Ret 6 Ret Ret Ret 1 —  Rupert Keegan Ret 12 Ret 13 10 Ret Ret 7 Ret 9 8 Ret 0 —  Patrick Nève 12 10 15 DNQ 10 DNQ 9 DNQ 7 18 Ret 0 —  Vern Schuppan 12 7 16 DNQ 0 —  Ingo Hoffmann Ret 7 0 —  Danny Ongais Ret 7 0 —  Alex Ribeiro Ret Ret Ret Ret DNQ DNQ DNQ DNQ DNQ DNQ 8 DNQ 11 DNQ 15 8 12 0 —  Hans Binder Ret Ret 11 11 9 Ret 12 8 DNQ 11 Ret Ret 0 —  Brett Lunger 14 Ret 10 DNS 11 DNQ 13 Ret 10 9 Ret 10 11 0 —  Harald Ertl Ret DNQ 9 16 DNQ 0 —  Jackie Oliver 9 0 —  Kunimitsu Takahashi 9 0 —  Ian Scheckter Ret Ret 11 DNQ Ret Ret NC Ret Ret Ret 10 Ret Ret Ret 0 —  Brian Henton 10 DNQ DNQ DNQ DSQ DNQ 0 —  Jacky Ickx 10 0 —  Gilles Villeneuve 11 12 Ret 0 —  Kazuyoshi Hoshino 11 0 —  Larry Perkins Ret 15 12 DNQ DNQ 0 —  David Purley DNQ 13 14 Ret DNPQ 0 —  Emilio de Villota 13 DNQ DNQ DNQ DNQ 17 DNQ 0 —  Arturo Merzario Ret DNQ 14 Ret Ret DNQ Ret DNQ 0 —  Ian Ashley DNQ DNQ DNQ 17 DNS 0 —  Tom Pryce NC Ret Ret 0 —  Boy Hayje Ret DNQ DNQ NC DNQ DNQ 0 —  Jean-Pierre Jabouille Ret Ret Ret Ret DNQ 0 —  Héctor Rebaque DNQ DNQ DNQ Ret DNQ DNQ 0 —  Hans Heyer DSQ 0 —  Bruno Giacomelli Ret 0 —  Noritake Takahara Ret 0 —  Conny Andersson DNQ DNQ DNQ DNQ 0 —  Teddy Pilette DNQ DNQ DNQ 0 —  Mikko Kozarowitzky DNQ DNPQ 0 —  Bernard de Dryver DNQ 0 —  Michael Bleekemolen DNQ 0 —  Lamberto Leoni DNQ 0 —  Loris Kessel DNQ 0 —  Giorgio Francia DNQ 0 —  Tony Trimmer DNPQ 0 —  Andy Sutcliffe DNPQ 0 —  Guy Edwards DNPQ 0 —  Brian McGuire DNPQ 0 Pos Driver ARG BRA RSA USW ESP MON BEL SWE FRA GBR GER AUT NED ITA USA CAN JPN Pts,"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Did not pre-qualify (DNPQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (cell empty) Text formatting Meaning Bold Pole position Italics Fastest lap",,,,,,,,,,,,,,,,,,
Pos,Driver,ARG,BRA,RSA,USW,ESP,MON,BEL,SWE,FRA,GBR,GER,AUT,NED,ITA,USA,CAN,JPN,Pts
1,Niki Lauda,Ret,3,1,2,DNS,2,2,Ret,5,2,1,2,1,2,4,,,72
2,Jody Scheckter,1,Ret,2,3,3,1,Ret,Ret,Ret,Ret,2,Ret,3,Ret,3,1,10,55
3,Mario Andretti,5,Ret,Ret,1,1,5,Ret,6,1,14,Ret,Ret,Ret,1,2,9,Ret,47
4,Carlos Reutemann,3,1,8,Ret,2,3,Ret,3,6,15,4,4,6,Ret,6,Ret,2,42
5,James Hunt,Ret,2,4,7,Ret,Ret,7,12,3,1,Ret,Ret,Ret,Ret,1,Ret,1,40
6,Jochen Mass,Ret,Ret,5,Ret,4,4,Ret,2,9,4,Ret,6,Ret,4,Ret,3,Ret,25
7,Alan Jones,,,,Ret,Ret,6,5,17,Ret,7,Ret,1,Ret,3,Ret,4,4,22
8,Gunnar Nilsson,DNS,5,12,8,5,Ret,1,19,4,3,Ret,Ret,Ret,Ret,Ret,Ret,Ret,20
