0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Pos. Driver AUS BRA ARG SMR MON ESP CAN FRA GBR GER HUN BEL ITA AUT LUX JPN EUR Points 1  Jacques Villeneuve RetP 1PF 1P RetP Ret 1P Ret 4 1P Ret 1 5PF 5 1PF 1 DSQP 3P 81 2  Heinz-Harald Frentzen 8F† 9 Ret 1F RetP 8 4 2 Ret Ret RetF 3 3 3 3F 2F 6F 42 3  David Coulthard 1 10 Ret Ret Ret 6 7F 7† 4 Ret Ret Ret 1 2 Ret 10† 2 36 4  Jean Alesi Ret 6 7 5 Ret 3 2 5 2 6 11 8 2P Ret 2 5 13 36 5  Gerhard Berger 4 2 6F Ret 9 10 1PF 8 6 7 10 4 8 4 27 6  Mika Häkkinen 3 4 5 6 Ret 7 Ret Ret Ret 3 Ret DSQ 9F Ret RetP 4 1 27 7  Eddie Irvine Ret 16 2 3 3 12 Ret 3 Ret Ret 9† 10† 8 Ret Ret 3 5 24 8  Giancarlo Fisichella Ret 8 Ret 4 6 9F 3 9 7 11† Ret 2 4 4 Ret 7 11 20 9  Olivier Panis 5 3 Ret 8 4 2 11† 6 Ret 7 16 10  Johnny Herbert Ret 7 4 Ret Ret 5 5 8 Ret Ret 3 4 Ret 8 7 6 8 15 11  Ralf Schumacher Ret Ret 3 Ret Ret Ret Ret 6 5 5 5 Ret Ret 5 Ret 9 Ret 13 12  Damon Hill DNS 17† Ret Ret Ret Ret 9 12 6 8 2 13† Ret 7 8 11 Ret 7 13  Rubens Barrichello Ret Ret Ret Ret 2 Ret Ret Ret Ret Ret Ret Ret 13 14† Ret Ret Ret 6 14  Alexander Wurz Ret Ret 3 4 15  Jarno Trulli 9 12 9 DNS Ret 15 Ret 10 8 4 7 15 10 Ret 3 16  Pedro Diniz 10 Ret Ret Ret Ret Ret 8 Ret Ret Ret Ret 7 Ret 13† 5 12 Ret 2 =  Mika Salo Ret 13 8 9 5 Ret Ret Ret Ret Ret 13 11 Ret Ret 10 Ret 12 2 18  Shinji Nakano 7 14 Ret Ret Ret Ret 6 Ret 11† 7 6 Ret 11 Ret Ret Ret 10 2 19  Nicola Larini 6 11 Ret 7 Ret 1  —  Jan Magnussen Ret DNS 10† Ret 7 13 Ret Ret Ret Ret Ret 12 Ret Ret Ret Ret 9 0  —  Jos Verstappen Ret 15 Ret 10 8 11 Ret Ret Ret 10 Ret Ret Ret 12 Ret 13 16 0  —  Gianni Morbidelli 14 10 Ret 9 12 9 9 DNS 0  —  Norberto Fontana Ret 9 9 14 0  —  Ukyo Katayama Ret 18 Ret 11 10 Ret Ret 11 Ret Ret 10 14† Ret 11 Ret Ret 17 0  —  Tarso Marques Ret 10 Ret 12 Ret 14 EX Ret Ret 15 0  —  Vincenzo Sospiri DNQ 0  —  Ricardo Rosset DNQ 0 DSQ  Michael Schumacher 2 5 Ret 2 1F 4 1P 1PF RetF 2 4P 1 6 6 Ret 1 Ret 78[b] Pos. Driver AUS BRA ARG SMR MON ESP CAN FRA GBR GER HUN BEL ITA AUT LUX JPN EUR Points Source:[20],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,,,,,,,,,,
Pos.,Driver,AUS,BRA,ARG,SMR,MON,ESP,CAN,FRA,GBR,GER,HUN,BEL,ITA,AUT,LUX,JPN,EUR,Points
1,Jacques Villeneuve,RetP,1PF,1P,RetP,Ret,1P,Ret,4,1P,Ret,1,5PF,5,1PF,1,DSQP,3P,81
2,Heinz-Harald Frentzen,8F†,9,Ret,1F,RetP,8,4,2,Ret,Ret,RetF,3,3,3,3F,2F,6F,42
3,David Coulthard,1,10,Ret,Ret,Ret,6,7F,7†,4,Ret,Ret,Ret,1,2,Ret,10†,2,36
4,Jean Alesi,Ret,6,7,5,Ret,3,2,5,2,6,11,8,2P,Ret,2,5,13,36
5,Gerhard Berger,4,2,6F,Ret,9,10,,,,1PF,8,6,7,10,4,8,4,27
6,Mika Häkkinen,3,4,5,6,Ret,7,Ret,Ret,Ret,3,Ret,DSQ,9F,Ret,RetP,4,1,27
7,Eddie Irvine,Ret,16,2,3,3,12,Ret,3,Ret,Ret,9†,10†,8,Ret,Ret,3,5,24
8,Giancarlo Fisichella,Ret,8,Ret,4,6,9F,3,9,7,11†,Ret,2,4,4,Ret,7,11,20
