Pos.,Constructor,No.,AUS,BRA,ARG,SMR,MON,ESP,CAN,FRA,GBR,GER,HUN,BEL,ITA,AUT,LUX,JPN,EUR,Points
1,Williams-Renault,3,RetP,1PF,1P,RetP,Ret,1P,Ret,4,1P,Ret,1,5PF,5,1PF,1,DSQP,3P,123
1,Williams-Renault,4,8F†,9,Ret,1F,RetP,8,4,2,Ret,Ret,RetF,3,3,3,3F,2F,6F,123
2,Ferrari,5,2,5,Ret,2,1F,4,1P,1PF,RetF,2,4P,1,6,6,Ret,1,Ret,102
2,Ferrari,6,Ret,16,2,3,3,12,Ret,3,Ret,Ret,9†,10†,8,Ret,Ret,3,5,102
3,Benetton-Renault,7,Ret,6,7,5,Ret,3,2,5,2,6,11,8,2P,Ret,2,5,13,67
3,Benetton-Renault,8,4,2,6F,Ret,9,10,Ret,Ret,3,1PF,8,6,7,10,4,8,4,67
4,McLaren-Mercedes,9,3,4,5,6,Ret,7,Ret,Ret,Ret,3,Ret,DSQ,9F,Ret,RetP,4,1,63
4,McLaren-Mercedes,10,1,10,Ret,Ret,Ret,6,7F,7†,4,Ret,Ret,Ret,1,2,Ret,10†,2,63
5,Jordan-Peugeot,11,Ret,Ret,3,Ret,Ret,Ret,Ret,6,5,5,5,Ret,Ret,5,Ret,9,Ret,33
5,Jordan-Peugeot,12,Ret,8,Ret,4,6,9F,3,9,7,11†,Ret,2,4,4,Ret,7,11,33
6,Prost-Mugen-Honda,14,5,3,Ret,8,4,2,11†,10,8,4,7,15,10,Ret,6,Ret,7,21
6,Prost-Mugen-Honda,15,7,14,Ret,Ret,Ret,Ret,6,Ret,11†,7,6,Ret,11,Ret,Ret,Ret,10,21
7,Sauber-Petronas,16,Ret,7,4,Ret,Ret,5,5,8,Ret,Ret,3,4,Ret,8,7,6,8,16
7,Sauber-Petronas,17,6,11,Ret,7,Ret,14,10,Ret,9,9,Ret,9,12,9,9,DNS,14,16
8,Arrows-Yamaha,1,DNS,17†,Ret,Ret,Ret,Ret,9,12,6,8,2,13†,Ret,7,8,11,Ret,9
8,Arrows-Yamaha,2,10,Ret,Ret,Ret,Ret,Ret,8,Ret,Ret,Ret,Ret,7,Ret,13†,5,12,Ret,9
9,Stewart-Ford,22,Ret,Ret,Ret,Ret,2,Ret,Ret,Ret,Ret,Ret,Ret,Ret,13,14†,Ret,Ret,Ret,6
9,Stewart-Ford,23,Ret,DNS,10†,Ret,7,13,Ret,Ret,Ret,Ret,Ret,12,Ret,Ret,Ret,Ret,9,6
10,Tyrrell-Ford,18,Ret,15,Ret,10,8,11,Ret,Ret,Ret,10,Ret,Ret,Ret,12,Ret,13,16,2
10,Tyrrell-Ford,19,Ret,13,8,9,5,Ret,Ret,Ret,Ret,Ret,13,11,Ret,Ret,10,Ret,12,2
—,Minardi-Hart,20,Ret,18,Ret,11,10,Ret,Ret,11,Ret,Ret,10,14†,Ret,11,Ret,Ret,17,0
—,Minardi-Hart,21,9,12,9,DNS,Ret,15,Ret,Ret,10,Ret,12,Ret,14,EX,Ret,Ret,15,0
—,Lola-Ford,24,DNQ,WD,,,,,,,,,,,,,,,,0
—,Lola-Ford,25,DNQ,WD,,,,,,,,,,,,,,,,0
Pos.,Constructor,No.,AUS,BRA,ARG,SMR,MON,ESP,CAN,FRA,GBR,GER,HUN,BEL,ITA,AUT,LUX,JPN,EUR,Points
Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21],Source:[21]
