Round,Grand Prix,Circuit,Date
1,Brazilian Grand Prix,"Autódromo Internacional Nelson Piquet, Jacarepaguá",3 April
2,San Marino Grand Prix,"Autodromo Enzo e Dino Ferrari, Imola",1 May
3,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",15 May
4,Mexican Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",29 May
5,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montréal",12 June
6,Detroit Grand Prix,"Detroit Street Circuit, Michigan",19 June
7,French Grand Prix,"Circuit Paul Ricard, Le Castellet",3 July
8,British Grand Prix,"Silverstone Circuit, Silverstone",10 July
9,German Grand Prix,"Hockenheimring, Hockenheim",24 July
10,Hungarian Grand Prix,"Hungaroring, Mogyoród",7 August
11,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",28 August
12,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",11 September
13,Portuguese Grand Prix,"Autódromo do Estoril, Estoril",25 September
14,Spanish Grand Prix,"Circuito de Jerez, Jerez de la Frontera",2 October
15,Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",30 October
16,Australian Grand Prix,"Adelaide Street Circuit, Adelaide",13 November
