Pos,Constructor,No.,BRA,SMR,MON,MEX,CAN,DET,FRA,GBR,GER,HUN,BEL,ITA,POR,ESP,JPN,AUS,Pts
1,McLaren-Honda,11,1,2F,1,1F,2,2F,1PF,Ret,2,2F,2,Ret,1P,1F,2,1F,199
1,McLaren-Honda,12,DSQP,1P,RetPF,2P,1PF,1P,2,1,1P,1P,1P,10P,6,4P,1PF,2P,199
2,Ferrari,27,5,18,3,4,Ret,Ret,3,17,4,Ret,Ret,2F,5,Ret,11,Ret,65
2,Ferrari,28,2F,5,2,3,Ret,Ret,4,9P,3,4,RetF,1,RetF,6,4,Ret,65
3,Benetton-Ford,19,Ret,6,Ret,7,Ret,Ret,6,3,18F,Ret,DSQ,9,Ret,3,5,Ret,39
3,Benetton-Ford,20,7,4,8,8,3,3,Ret,Ret,6,3,DSQ,6,3,9,3,5,39
4,Lotus-Honda,1,3,3,Ret,Ret,4,Ret,5,5,Ret,8,4,Ret,Ret,8,Ret,3,23
4,Lotus-Honda,2,6,8,DNQ,Ret,11,DNQ,7,10,9,7,Ret,Ret,Ret,Ret,7,Ret,23
5,Arrows-Megatron,17,4,9,4,5,7,Ret,Ret,6,7,Ret,5,4,4,Ret,Ret,Ret,23
5,Arrows-Megatron,18,8,7,Ret,6,Ret,Ret,11,7,10,Ret,6,3,Ret,Ret,Ret,Ret,23
6,March-Judd,15,Ret,15,Ret,Ret,Ret,Ret,8,4,8,5,Ret,8,Ret,7,10,Ret,22
6,March-Judd,16,Ret,Ret,10,16,5,DNS,9,Ret,5,Ret,3,5,2,Ret,Ret,6,22
7,Williams-Judd,5,Ret,Ret,Ret,Ret,Ret,Ret,Ret,2F,Ret,Ret,7,11,Ret,2,Ret,Ret,20
7,Williams-Judd,6,Ret,13,6,Ret,Ret,Ret,Ret,8,Ret,6,Ret,7,Ret,5,6,4,20
8,Tyrrell-Ford,3,Ret,14,5,DNQ,6,5,Ret,Ret,11,Ret,12,DNQ,Ret,Ret,12,Ret,5
8,Tyrrell-Ford,4,DNQ,Ret,DNQ,DNQ,Ret,9,DNQ,16,DNQ,DNQ,DNQ,12,DNQ,DNQ,14,DNQ,5
9,Rial-Ford,22,Ret,Ret,Ret,Ret,9,4,10,Ret,13,Ret,Ret,Ret,Ret,Ret,Ret,8,3
10,Minardi-Ford,23,Ret,16,DNQ,DNQ,DNQ,6,15,15,DNQ,Ret,DNQ,Ret,Ret,Ret,13,7,1
10,Minardi-Ford,24,Ret,11,Ret,11,13,Ret,NC,Ret,DNQ,10,DNQ,Ret,8,12,15,Ret,1
—,Lola-Ford,29,Ret,12,7,9,DNQ,7,13,13,19,9,Ret,Ret,Ret,11,16,DNQ,0
—,Lola-Ford,30,Ret,17,Ret,Ret,10,Ret,Ret,14,Ret,12,9,Ret,Ret,14,9,10,0
—,Dallara-Ford,36,DNPQ,Ret,Ret,Ret,DNPQ,8,12,11,15,Ret,8,Ret,7,10,Ret,Ret,0
—,AGS-Ford,14,Ret,10,Ret,12,Ret,Ret,Ret,Ret,Ret,Ret,10,Ret,9,Ret,8,11,0
—,Coloni-Ford,31,Ret,Ret,Ret,14,8,DNPQ,DNPQ,DNPQ,DNPQ,13,Ret,DNQ,11,DNPQ,DNPQ,DNQ,0
—,Ligier-Judd,25,Ret,DNQ,Ret,Ret,Ret,Ret,DNQ,18,17,Ret,Ret,13,10,Ret,17,Ret,0
—,Ligier-Judd,26,9,DNQ,Ret,10,Ret,Ret,DNQ,DNQ,DNQ,Ret,11,DNQ,Ret,Ret,DNQ,9,0
—,Osella,21,DNQ,EX,9,DNQ,DNQ,Ret,Ret,19,Ret,DNPQ,Ret,Ret,12,Ret,Ret,DNPQ,0
—,EuroBrun-Ford,32,Ret,DNQ,Ret,13,Ret,Ret,Ret,DNQ,16,DNQ,DNPQ,DNPQ,DNPQ,DNQ,DNQ,Ret,0
—,EuroBrun-Ford,33,Ret,NC,EX,EX,12,Ret,14,12,Ret,11,DNQ,DNQ,DNQ,13,DNQ,Ret,0
—,Zakspeed,9,DNQ,Ret,Ret,15,14,DNQ,EX,DNQ,14,DNQ,Ret,Ret,DNQ,DNQ,DNQ,Ret,0
—,Zakspeed,10,DNQ,DNQ,DNQ,Ret,DNQ,DNQ,Ret,DNQ,12,DNQ,13,Ret,DNQ,DNQ,Ret,DNQ,0
Pos,Constructor,Car no.,BRA,SMR,MON,MEX,CAN,DET,FRA,GBR,GER,HUN,BEL,ITA,POR,ESP,JPN,AUS,Pts
