Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Brazilian Grand Prix,Ayrton Senna,Gerhard Berger,Alain Prost,McLaren-Honda,Report
2,San Marino Grand Prix,Ayrton Senna,Alain Prost,Ayrton Senna,McLaren-Honda,Report
3,Monaco Grand Prix,Ayrton Senna,Ayrton Senna,Alain Prost,McLaren-Honda,Report
4,Mexican Grand Prix,Ayrton Senna,Alain Prost,Alain Prost,McLaren-Honda,Report
5,Canadian Grand Prix,Ayrton Senna,Ayrton Senna,Ayrton Senna,McLaren-Honda,Report
6,Detroit Grand Prix,Ayrton Senna,Alain Prost,Ayrton Senna,McLaren-Honda,Report
7,French Grand Prix,Alain Prost,Alain Prost,Alain Prost,McLaren-Honda,Report
8,British Grand Prix,Gerhard Berger,Nigel Mansell,Ayrton Senna,McLaren-Honda,Report
9,German Grand Prix,Ayrton Senna,Alessandro Nannini,Ayrton Senna,McLaren-Honda,Report
10,Hungarian Grand Prix,Ayrton Senna,Alain Prost,Ayrton Senna,McLaren-Honda,Report
11,Belgian Grand Prix,Ayrton Senna,Gerhard Berger,Ayrton Senna,McLaren-Honda,Report
12,Italian Grand Prix,Ayrton Senna,Michele Alboreto,Gerhard Berger,Ferrari,Report
13,Portuguese Grand Prix,Alain Prost,Gerhard Berger,Alain Prost,McLaren-Honda,Report
14,Spanish Grand Prix,Ayrton Senna,Alain Prost,Alain Prost,McLaren-Honda,Report
15,Japanese Grand Prix,Ayrton Senna,Ayrton Senna,Ayrton Senna,McLaren-Honda,Report
16,Australian Grand Prix,Ayrton Senna,Alain Prost,Alain Prost,McLaren-Honda,Report
