Round,Grand Prix,Circuit,Date
1,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",26 May
2,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",9 June
3,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",23 June
4,French Grand Prix,"Reims-Gueux, Gueux",30 June
5,British Grand Prix,"Silverstone Circuit, Silverstone",20 July
6,German Grand Prix,"Nürburgring, Nürburg",4 August
7,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",8 September
8,United States Grand Prix,"Watkins Glen International, New York",6 October
9,Mexican Grand Prix,"Magdalena Mixhuca, Mexico City",27 October
10,South African Grand Prix,"Prince George Circuit, East London",28 December
