Round,Grand Prix,Circuit,Date
1,United States Grand Prix West,"Long Beach Street Circuit, California",15 March
2,Brazilian Grand Prix,"Autódromo de Jacarepaguá, Rio de Janeiro",29 March
3,Argentine Grand Prix,"Autodromo de Buenos Aires, Buenos Aires",12 April
4,San Marino Grand Prix,"Autodromo Dino Ferrari, Imola",3 May
5,Belgian Grand Prix,"Circuit Zolder, Heusden-Zolder",17 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",31 May
7,Spanish Grand Prix,"Circuito Permanente Del Jarama, Madrid",21 June
8,French Grand Prix,"Dijon-Prenois, Prenois",5 July
9,British Grand Prix,"Silverstone Circuit, Silverstone",18 July
10,German Grand Prix,"Hockenheimring, Hockenheim",2 August
11,Austrian Grand Prix,"Österreichring, Spielberg",16 August
12,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",30 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",13 September
14,Canadian Grand Prix,"Île Notre-Dame Circuit, Montréal",27 September
15,Caesars Palace Grand Prix[b],"Caesars Palace Grand Prix Circuit, Las Vegas",17 October[c]
