Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,United States Grand Prix West,Riccardo Patrese,Alan Jones,Alan Jones,Williams-Ford,Report
2,Brazilian Grand Prix,Nelson Piquet,Marc Surer,Carlos Reutemann,Williams-Ford,Report
3,Argentine Grand Prix,Nelson Piquet,Nelson Piquet,Nelson Piquet,Brabham-Ford,Report
4,San Marino Grand Prix,Gilles Villeneuve,Gilles Villeneuve,Nelson Piquet,Brabham-Ford,Report
5,Belgian Grand Prix,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,Williams-Ford,Report
6,Monaco Grand Prix,Nelson Piquet,Alan Jones,Gilles Villeneuve,Ferrari,Report
7,Spanish Grand Prix,Jacques Laffite,Alan Jones,Gilles Villeneuve,Ferrari,Report
8,French Grand Prix,René Arnoux,Alain Prost,Alain Prost,Renault,Report
9,British Grand Prix,René Arnoux,René Arnoux,John Watson,McLaren-Ford,Report
10,German Grand Prix,Alain Prost,Alan Jones,Nelson Piquet,Brabham-Ford,Report
11,Austrian Grand Prix,René Arnoux,Jacques Laffite,Jacques Laffite,Talbot Ligier-Matra,Report
12,Dutch Grand Prix,Alain Prost,Alan Jones,Alain Prost,Renault,Report
13,Italian Grand Prix,René Arnoux,Carlos Reutemann,Alain Prost,Renault,Report
14,Canadian Grand Prix,Nelson Piquet,John Watson,Jacques Laffite,Talbot Ligier-Matra,Report
15,Caesars Palace Grand Prix,Carlos Reutemann,Didier Pironi,Alan Jones,Williams-Ford,Report
