0,1
Active,GT3 GT2 GT4 GT500 GT300 Trans-Am
Defunct,Group 3 Group 4 Group 5 Group B Group D GT1 (1993–1999) GT1 (2000–2012) GT2 (1993–1999) GT2 (2005–2010) GT3 (1998–1999) LM GTE IMSA AAGT GTO GTS GTU GTX Appendix K
