0,1
Active,Formula Car Challenge Formula Enterprise Indy NXT MRF Challenge SRF USF Pro 2000 USF2000 USF Juniors FIA Formula Championship 2 3
Defunct,ADAC Formel Masters Barber Pro CFGP Formula Asia Formula Abarth Alfa BMW Chrysler König LGB Swift Hyundai Lightning Maruti Masters China Russia Mazda Nissan Opel/Vauxhall Palmer Audi RUS Rolon Formula Renault 2.0L GP2 GP3 Toyota Racing Series S5000
