Drivers' Championship,Drivers' Championship,Drivers' Championship,Constructors' Championship,Constructors' Championship
Name,Constructor,Points,Constructor,Points
Lando Norris,McLaren-Mercedes,423,McLaren-Mercedes,833
Max Verstappen,Red Bull Racing-Honda RBPT,421,Mercedes,469
Oscar Piastri,McLaren-Mercedes,410,Red Bull Racing-Honda RBPT,451
