Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Alfa Romeo SpA,Alfa Romeo,158 159,Alfa Romeo 158 1.5 L8 s,P,Juan Manuel Fangio,"1–2, 4–7"
Alfa Romeo SpA,Alfa Romeo,158 159,Alfa Romeo 158 1.5 L8 s,P,Giuseppe Farina,"1–2, 4–7"
Alfa Romeo SpA,Alfa Romeo,158 159,Alfa Romeo 158 1.5 L8 s,P,Luigi Fagioli,"1–2, 4–7"
Alfa Romeo SpA,Alfa Romeo,158 159,Alfa Romeo 158 1.5 L8 s,P,Reg Parnell,1
Alfa Romeo SpA,Alfa Romeo,158 159,Alfa Romeo 158 1.5 L8 s,P,Consalvo Sanesi,7
Alfa Romeo SpA,Alfa Romeo,158 159,Alfa Romeo 158 1.5 L8 s,P,Piero Taruffi,7
Scuderia Ambrosiana,Maserati,4CLT/48,Maserati 4CLT 1.5 L4 s,D,David Murray,"1, 7"
Scuderia Ambrosiana,Maserati,4CLT/48,Maserati 4CLT 1.5 L4 s,D,David Hampshire,"1, 6"
Scuderia Ambrosiana,Maserati,4CLT/48,Maserati 4CLT 1.5 L4 s,D,Reg Parnell,6
T.A.S.O. Mathieson,ERA,E,ERA 1.5 L6 s,D,Leslie Johnson,1
Peter Walker,ERA,E,ERA 1.5 L6 s,D,Peter Walker,1
Peter Walker,ERA,E,ERA 1.5 L6 s,D,Tony Rolt,1
Joe Fry,Maserati,4CL,Maserati 4CL 1.5 L4 s,D,Joe Fry,1
Joe Fry,Maserati,4CL,Maserati 4CL 1.5 L4 s,D,Brian Shawe-Taylor,1
Cuth Harrison,ERA,B,ERA 1.5 L6 s,D,Cuth Harrison,"1–2, 7"
Bob Gerard,ERA,B A,ERA 1.5 L6 s,D,Bob Gerard,1–2
Automobiles Talbot-Darracq,Talbot-Lago,T26C-DA T26C T26C-GS,Talbot 23CV 4.5 L6,D,Yves Giraud-Cabantous,"1, 4–6"
Automobiles Talbot-Darracq,Talbot-Lago,T26C-DA T26C T26C-GS,Talbot 23CV 4.5 L6,D,Louis Rosier,"1, 4–6"
Automobiles Talbot-Darracq,Talbot-Lago,T26C-DA T26C T26C-GS,Talbot 23CV 4.5 L6,D,Philippe Étancelin,"1, 5"
Automobiles Talbot-Darracq,Talbot-Lago,T26C-DA T26C T26C-GS,Talbot 23CV 4.5 L6,D,Eugène Martin,"1, 4"
Automobiles Talbot-Darracq,Talbot-Lago,T26C-DA T26C T26C-GS,Talbot 23CV 4.5 L6,D,Raymond Sommer,6
Ecurie Belge,Talbot-Lago,T26C,Talbot 23CV 4.5 L6,D,Johnny Claes,"1–2, 4–7"
Officine Alfieri Maserati,Maserati,4CLT/48,Maserati 4CLT 1.5 L4 s,P,Louis Chiron,"1–2, 4, 6–7"
Officine Alfieri Maserati,Maserati,4CLT/48,Maserati 4CLT 1.5 L4 s,P,Franco Rol,"2, 6–7"
Enrico Platé,Maserati,4CLT/48,Maserati 4CLT 1.5 L4 s,P,Toulo de Graffenried,"1–2, 4, 7"
Enrico Platé,Maserati,4CLT/48,Maserati 4CLT 1.5 L4 s,P,Birabongse Bhanudej,"1–2, 4, 7"
Joe Kelly,Alta,GP,Alta 1.5 L4 s,D,Joe Kelly,1
Geoffrey Crossley,Alta,GP,Alta 1.5 L4 s,D,Geoffrey Crossley,"1, 5"
