Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Argentine Grand Prix,Alan Jones,Alan Jones,Alan Jones,Williams-Ford,Report
2,Brazilian Grand Prix,Jean-Pierre Jabouille,René Arnoux,René Arnoux,Renault,Report
3,South African Grand Prix,Jean-Pierre Jabouille,René Arnoux,René Arnoux,Renault,Report
4,United States Grand Prix West,Nelson Piquet,Nelson Piquet,Nelson Piquet,Brabham-Ford,Report
5,Belgian Grand Prix,Alan Jones,Jacques Laffite,Didier Pironi,Ligier-Ford,Report
6,Monaco Grand Prix,Didier Pironi,Carlos Reutemann,Carlos Reutemann,Williams-Ford,Report
7,French Grand Prix,Jacques Laffite,Alan Jones,Alan Jones,Williams-Ford,Report
8,British Grand Prix,Didier Pironi,Didier Pironi,Alan Jones,Williams-Ford,Report
9,German Grand Prix,Alan Jones,Alan Jones,Jacques Laffite,Ligier-Ford,Report
10,Austrian Grand Prix,René Arnoux,René Arnoux,Jean-Pierre Jabouille,Renault,Report
11,Dutch Grand Prix,René Arnoux,René Arnoux,Nelson Piquet,Brabham-Ford,Report
12,Italian Grand Prix,René Arnoux,Alan Jones,Nelson Piquet,Brabham-Ford,Report
13,Canadian Grand Prix,Nelson Piquet,Didier Pironi,Alan Jones,Williams-Ford,Report
14,United States Grand Prix,Bruno Giacomelli,Alan Jones,Alan Jones,Williams-Ford,Report
