Pos,Constructor,Car no.,ARG,BRA,RSA,USW,BEL,MON,FRA,GBR,GER,AUT,NED,ITA,CAN,USA,Pts
1,Williams-Ford,27,1,3,Ret,Ret,2,Ret,1,1,3,2,11,2,1,1,120
1,Williams-Ford,28,Ret,Ret,5,Ret,3,1,6,3,2,3,4,3,2,2,120
1,Williams-Ford,43,,,,,,,,DNQ,,,,,,,120
1,Williams-Ford,50,,,,,,,,11,DNQ,15,DNQ,11,DNQ,9,120
1,Williams-Ford,51,,,,,,,,,,,,,DNQ,DNQ,120
2,Ligier-Ford,25,Ret,4,3,6,1,Ret,2,Ret,Ret,Ret,Ret,6,3,3,66
2,Ligier-Ford,26,Ret,Ret,2,Ret,11,2,3,Ret,1,4,3,9,8,5,66
3,Brabham-Ford,5,2,Ret,4,1,Ret,3,4,2,4,5,1,1,Ret,Ret,55
3,Brabham-Ford,6,7,8,10,Ret,Ret,DNQ,Ret,7,Ret,10,Ret,Ret,6,Ret,55
4,Renault,15,Ret,Ret,Ret,10,Ret,Ret,Ret,Ret,Ret,1,Ret,Ret,Ret,,38
4,Renault,16,Ret,1,1,9,4,Ret,5,NC,Ret,9,2,10,Ret,7,38
5,Lotus-Ford,11,Ret,Ret,12,Ret,Ret,7,Ret,Ret,7,Ret,8,Ret,Ret,6,14
5,Lotus-Ford,12,Ret,2,Ret,Ret,10,9,Ret,Ret,16,6,Ret,4,10,4,14
5,Lotus-Ford,43,,,,,,,,,,Ret,Ret,DNQ,,,14
6,Tyrrell-Ford,3,Ret,12,7,Ret,5,Ret,Ret,5,15,Ret,5,13,7,NC,12
6,Tyrrell-Ford,4,4,14,Ret,8,9,Ret,11,4,10,Ret,Ret,Ret,Ret,Ret,12
6,Tyrrell-Ford,43,,,,,,,,,,,,,Ret,DNQ,12
7,Arrows-Ford,29,Ret,6,Ret,2,Ret,8,9,9,9,14,Ret,Ret,Ret,Ret,11
7,Arrows-Ford,30,Ret,10,6,7,Ret,4,10,13,8,DNQ,DNQ,DNQ,11,Ret,11
8,Fittipaldi-Ford,20,NC,15,8,3,Ret,6,Ret,12,Ret,11,Ret,Ret,Ret,Ret,11
8,Fittipaldi-Ford,21,3,9,Ret,Ret,7,DNQ,Ret,DNQ,Ret,16,DNQ,5,9,10,11
9,McLaren-Ford,7,Ret,11,11,4,NC,DNQ,7,8,Ret,Ret,Ret,Ret,4,NC,11
9,McLaren-Ford,8,6,5,DNS,DNQ,Ret,Ret,Ret,6,11,7,6,7,Ret,DNS,11
10,Ferrari,1,Ret,Ret,Ret,5,8,Ret,12,10,13,13,9,8,DNQ,11,8
10,Ferrari,2,Ret,16,Ret,Ret,6,5,8,Ret,6,8,7,Ret,5,Ret,8
11,Alfa Romeo,22,Ret,Ret,NC,Ret,Ret,Ret,Ret,Ret,,,Ret,Ret,Ret,Ret,4
11,Alfa Romeo,23,5,13,Ret,Ret,Ret,Ret,Ret,Ret,5,Ret,Ret,Ret,Ret,Ret,4
—,ATS-Ford,9,Ret,7,DNS,Ret,12,NC,Ret,Ret,12,12,10,Ret,DNQ,8,0
—,ATS-Ford,10,DNQ,DNQ,DNQ,,,,,,DNQ,,,,,,0
—,Ensign-Ford,14,NC,Ret,9,Ret,Ret,DNQ,DNQ,DNQ,14,DNQ,DNQ,DNQ,12,Ret,0
—,Ensign-Ford,41,,,,,,,,,,,Ret,DNQ,,,0
—,Osella-Ford,31,DNQ,DNQ,Ret,Ret,DNQ,DNQ,Ret,Ret,Ret,Ret,Ret,12,Ret,Ret,0
—,Shadow-Ford,17,DNQ,DNQ,13,DNQ,DNQ,DNQ,DNQ,,,,,,,,0
—,Shadow-Ford,18,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,,,,,,,,0
Pos,Constructor,Car no.,ARG,BRA,RSA,USW,BEL,MON,FRA,GBR,GER,AUT,NED,ITA,CAN,USA,Pts
