vteWorld championships in 2023,vteWorld championships in 2023.1
Summer sports & indoor sports,Archery Association football (women) Aquatics artistic swimming diving open water swimming swimming water polo Armwrestling Athletics cross country masters outdoor road running Badminton individual mixed team Baseball (men) Basketball men 3x3 Beach volleyball Bowls outdoor indoor WBT indoor WB/IIBC Boxing men women Breaking Canoeing slalom sprint marathon Climbing Cricket Test ODI women T20 Cycling road track BMX cyclo-cross MTB MTB marathon gravel esports Fencing Field hockey (men) Floorball Gymnastics artistic rhythmic Aesthetic group Trampoline Handball men women Indoor hockey men women Judo Karate Korfball Lacrosse (men) Minifootball Modern pentathlon Netball Nine-pin bowling Orienteering Real tennis men women Rowing Rugby union (men) Sailing Shooting Socca Squash men women Surfing Table tennis Taekwondo Weightlifting Wrestling Wushu
Winter sports,Alpine skiing Bandy men women Biathlon Bobsleigh / Skeleton Curling men women mixed mixed doubles Figure skating Freestyle skiing Ice hockey men women Luge Nordic skiing Ski mountaineering Snowboarding Speed skating single distances short track inline
Cue & mind sports,Chess open women Draughts open women Darts PDC WDF Snooker open women
Motor sports,Air sports F3P Endurance auto racing Endurance moto racing Enduro Formula E Formula One Motocross men women team MotoGP Moto2 Moto3 MotoE Powerboat Rally Rallycross Rally raid FIA Bajas FIM Bajas Sidecarcross Speedway individual team longtrack Superbike Supersport Supersport 300 Supercross
Parasports,Sitting volleyball Men Women
