Pos,Constructor[16],Car no.,BRA,POR,SMR,MON,CAN,DET,FRA,GBR,GER,AUT,NED,ITA,BEL,EUR,RSA,AUS,Points
1,McLaren-TAG,1,Ret,Ret,4,Ret,Ret,Ret,Ret,Ret,5F,Ret,1,Ret,DNS,7,Ret,Ret,90
1,McLaren-TAG,2,1F,Ret,DSQ,1,3,Ret,3,1F,2,1PF,2F,1,3PF,4,3,Ret,90
2,Ferrari,27,2P,2,RetF,2F,1,3,Ret,2,1,3,4,13,Ret,Ret,Ret,Ret,82
2,Ferrari,28,4,8,6,Ret,2,2,4,Ret,9,4,Ret,5,Ret,Ret,4,5,82
3,Williams-Honda,5,Ret,5,5,7,6,Ret,DNS,Ret,6,Ret,6,11F,2,1,1P,Ret,71
3,Williams-Honda,6,Ret,Ret,Ret,8,4,1,2PF,RetP,12,Ret,Ret,Ret,4,3,2F,1F,71
4,Lotus-Renault,11,3,4,1,3,5P,5,5,NC,Ret,5,5,6,Ret,5,Ret,DSQ,71
4,Lotus-Renault,12,Ret,1PF,7P,RetP,16F,RetPF,Ret,10,Ret,2,3,3P,1,2P,Ret,RetP,71
5,Brabham-BMW,7,Ret,Ret,8,Ret,Ret,6,1,4,Ret,Ret,8P,2,5,Ret,Ret,Ret,26
5,Brabham-BMW,8,Ret,Ret,Ret,DNQ,15,8,8,6,Ret,6,10,4,8,Ret,Ret,Ret,26
6,Ligier-Renault,25,Ret,Ret,Ret,4,14,10,Ret,Ret,Ret,Ret,Ret,10,9,8,,3,23
6,Ligier-Renault,26,6,Ret,Ret,6,8,12,Ret,3,3,Ret,Ret,Ret,11,RetF,,2,23
7,Renault,14,,,,,,,,,Ret,,,,,,,,16
7,Renault,15,5,3,3,Ret,7,Ret,6,Ret,Ret,10,Ret,7,Ret,12,,Ret,16
7,Renault,16,10,7,10,5,Ret,Ret,7,5,Ret,Ret,Ret,Ret,6,Ret,,Ret,16
8,Arrows-BMW,17,Ret,Ret,Ret,Ret,13,11,Ret,8,7,Ret,9,Ret,7,10,5,6,14
8,Arrows-BMW,18,11,Ret,2,9,9,7,9,Ret,4,8,Ret,9,10,6,6,Ret,14
9,Tyrrell-Ford,3,8,Ret,9,10,12,Ret,,,,,,,,,,,4
9,Tyrrell-Ford,4,7,6,Ret,DNQ,11,4,13,11,10,DNQ,,,,,,,4
10,Tyrrell-Renault,3,,,,,,,Ret,7,8,7,7,8,13,Ret,7,NC,3
10,Tyrrell-Renault,4,,,,,,,,,,,Ret,,,Ret,Ret,4,3
—,Osella-Alfa Romeo,24,12,9,NC,DNQ,Ret,Ret,15,Ret,Ret,9,NC,Ret,NC,DNQ,Ret,7,0
—,Minardi-Motori Moderni,29,,,Ret,DNQ,Ret,Ret,Ret,Ret,11,Ret,Ret,Ret,12,Ret,Ret,8,0
—,Alfa Romeo,22,Ret,Ret,Ret,Ret,10,Ret,11,9,Ret,Ret,Ret,Ret,Ret,9,Ret,Ret,0
—,Alfa Romeo,23,Ret,Ret,Ret,Ret,17,9,10,Ret,Ret,Ret,Ret,Ret,Ret,11,Ret,Ret,0
—,RAM-Hart,9,13,NC,Ret,DNQ,Ret,Ret,12,Ret,Ret,Ret,Ret,Ret,Ret,Ret,,,0
—,RAM-Hart,10,9,Ret,Ret,DNQ,Ret,Ret,Ret,Ret,Ret,Ret,DNQ,Ret,,,,,0
—,Zakspeed,30,,Ret,DNS,11,,,Ret,Ret,Ret,Ret,Ret,,Ret,Ret,,,0
—,Toleman-Hart,19,,,,Ret,Ret,Ret,14,Ret,RetP,Ret,Ret,12,Ret,Ret,Ret,Ret,0
—,Toleman-Hart,20,,,,,,,,,,DNS,Ret,DNS,Ret,Ret,Ret,Ret,0
—,Lola-Hart,33,,,,,,,,,,,,Ret,,Ret,DNS,Ret,0
—,Spirit-Hart,21,Ret,Ret,Ret,,,,,,,,,,,,,,0
—,Minardi-Ford,29,Ret,Ret,,,,,,,,,,,,,,,0
Pos,Constructor,Car no.,BRA,POR,SMR,MON,CAN,DET,FRA,GBR,GER,AUT,NED,ITA,BEL,EUR,RSA,AUS,Points
