Round,Grand Prix,Circuit,Date
1,Brazilian Grand Prix,"Autodromo Jacarepaguá, Rio de Janeiro",7 April
2,Portuguese Grand Prix,"Autódromo do Estoril, Cascais",21 April
3,San Marino Grand Prix,"Autodromo Dino Ferrari, Imola",5 May
4,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",19 May
5,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montréal",16 June
6,Detroit Grand Prix,"Detroit Street Circuit, Downtown Detroit, Michigan",23 June
7,French Grand Prix,"Paul Ricard Circuit, Le Castellet",7 July
8,British Grand Prix,"Silverstone Circuit, Silverstone",21 July
9,German Grand Prix,"Nürburgring, Nürburg",4 August
10,Austrian Grand Prix,"Österreichring, Spielberg",18 August
11,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",25 August
12,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",8 September
13,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",15 September[a]
14,European Grand Prix,"Brands Hatch, Kent",6 October[b][c]
15,South African Grand Prix,"Kyalami Circuit, Midrand",19 October
16,Australian Grand Prix,"Adelaide Street Circuit, Adelaide",3 November
