Entrant,Constructor,Chassis,Engine†,Tyre,No.,Driver,Rounds
Scuderia Ferrari Marlboro,Ferrari,F2002B F2003-GA,Ferrari Tipo 051B Ferrari Tipo 052,B,1,Michael Schumacher,All
Scuderia Ferrari Marlboro,Ferrari,F2002B F2003-GA,Ferrari Tipo 051B Ferrari Tipo 052,B,2,Rubens Barrichello,All
BMW WilliamsF1 Team,Williams-BMW,FW25,BMW P83,M,3,Juan Pablo Montoya,All
BMW WilliamsF1 Team,Williams-BMW,FW25,BMW P83,M,4,Ralf Schumacher[a],All
BMW WilliamsF1 Team,Williams-BMW,FW25,BMW P83,M,4,Marc Gené,14
West McLaren Mercedes,McLaren-Mercedes,MP4-17D,Mercedes FO110M Mercedes FO110P,M,5,David Coulthard,All
West McLaren Mercedes,McLaren-Mercedes,MP4-17D,Mercedes FO110M Mercedes FO110P,M,6,Kimi Räikkönen,All
Mild Seven Renault F1 Team,Renault,R23 R23B,Renault RS23,M,7,Jarno Trulli,All
Mild Seven Renault F1 Team,Renault,R23 R23B,Renault RS23,M,8,Fernando Alonso,All
Sauber Petronas,Sauber-Petronas,C22,Petronas 03A,B,9,Nick Heidfeld,All
Sauber Petronas,Sauber-Petronas,C22,Petronas 03A,B,10,Heinz-Harald Frentzen,All
Benson & Hedges Jordan Ford,Jordan-Ford,EJ13,Ford RS1,B,11,Giancarlo Fisichella,All
Benson & Hedges Jordan Ford,Jordan-Ford,EJ13,Ford RS1,B,12,Ralph Firman[b],"1–13, 15–16"
Benson & Hedges Jordan Ford,Jordan-Ford,EJ13,Ford RS1,B,12,Zsolt Baumgartner,13–14
HSBC Jaguar Racing,Jaguar-Cosworth,R4,Cosworth CR-5,M,14,Mark Webber,All
HSBC Jaguar Racing,Jaguar-Cosworth,R4,Cosworth CR-5,M,15,Antônio Pizzonia,1–11
HSBC Jaguar Racing,Jaguar-Cosworth,R4,Cosworth CR-5,M,15,Justin Wilson,12–16
Lucky Strike BAR Honda,BAR-Honda,005,Honda RA003E,B,16,Jacques Villeneuve,1–15
Lucky Strike BAR Honda,BAR-Honda,005,Honda RA003E,B,16,Takuma Sato,16
Lucky Strike BAR Honda,BAR-Honda,005,Honda RA003E,B,17,Jenson Button,All
Trust Minardi Cosworth[c],Minardi-Cosworth,PS03,Cosworth CR-3,B,18,Justin Wilson,1–11
Trust Minardi Cosworth[c],Minardi-Cosworth,PS03,Cosworth CR-3,B,18,Nicolas Kiesa,12–16
Trust Minardi Cosworth[c],Minardi-Cosworth,PS03,Cosworth CR-3,B,19,Jos Verstappen,All
Panasonic Toyota Racing,Toyota,TF103,Toyota RVX-03,M,20,Olivier Panis,All
Panasonic Toyota Racing,Toyota,TF103,Toyota RVX-03,M,21,Cristiano da Matta,All
Sources:[3][4][5],Sources:[3][4][5],Sources:[3][4][5],Sources:[3][4][5],Sources:[3][4][5],Sources:[3][4][5],Sources:[3][4][5],Sources:[3][4][5]
