Pos.,Constructor,No.,AUS,MAL,BRA,SMR,ESP,AUT,MON,CAN,EUR,FRA,GBR,GER,HUN,ITA,USA,JPN,Points
1,Ferrari,1,4P,6F,Ret,1PF,1P,1PF,3,1,5,3,4,7,8,1PF,1F,8,158
1,Ferrari,2,Ret,2,RetPF,3,3F,3,8,5,3,7,1PF,Ret,Ret,3,Ret,1P,158
2,Williams-BMW,3,2,12,Ret,7,4,Ret,1,3,2,2F,2,1PF,3F,2,6,Ret,144
2,Williams-BMW,4,8,4,7,4,5,6,4P,2P,1,1P,9,Ret,4,5,Ret,12F,144
3,McLaren-Mercedes,5,1,Ret,4,5,Ret,5,7,Ret,15†,5,5,2,5,Ret,Ret,3,142
3,McLaren-Mercedes,6,3F,1,2,2,Ret,2,2F,6,RetPF,4,3,Ret,2,4,2P,2,142
4,Renault,7,5,5,8,13,Ret,8,6,Ret,Ret,Ret,6,3,7,Ret,4,5,88
4,Renault,8,7,3P,3,6,2,Ret,5,4F,4,Ret,Ret,4,1P,8,Ret,Ret,88
5,BAR-Honda,16,9,DNS,6,Ret,Ret,12,Ret,Ret,Ret,9,10,9,Ret,6,Ret,6,26
5,BAR-Honda,17,10,7,Ret,8,9,4,DNS,Ret,7,Ret,8,8,10,Ret,Ret,4,26
6,Sauber-Petronas,9,Ret,8,Ret,10,10,Ret,11,Ret,8,13,17,10,9,9,5,9,19
6,Sauber-Petronas,10,6,9,5,11,Ret,DNS,Ret,Ret,9,12,12,Ret,Ret,13†,3,Ret,19
7,Jaguar-Cosworth,14,Ret,Ret,9†,Ret,7,7,Ret,7,6,6,14,11†,6,7,Ret,11,18
7,Jaguar-Cosworth,15,13†,Ret,Ret,14,Ret,9,Ret,10†,10,10,Ret,Ret,Ret,Ret,8,13,18
8,Toyota,20,Ret,Ret,Ret,9,Ret,Ret,13,8,Ret,8,11,5,Ret,Ret,Ret,10,16
8,Toyota,21,Ret,11,10,12,6,10,9,11†,Ret,11,7,6,11,Ret,9,7,16
9,Jordan-Ford,11,12†,Ret,1,15†,Ret,Ret,10,Ret,12,Ret,Ret,13†,Ret,10,7,Ret,13
9,Jordan-Ford,12,Ret,10,Ret,Ret,8,11,12,Ret,11,15,13,Ret,Ret,11,Ret,14,13
10,Minardi-Cosworth,18,Ret,Ret,Ret,Ret,11,13,Ret,Ret,13,14,16,12,13,12,11,16,0
10,Minardi-Cosworth,19,11,13,Ret,Ret,12,Ret,Ret,9,14,16,15,Ret,12,Ret,10,15,0
Pos.,Constructor,No.,AUS,MAL,BRA,SMR,ESP,AUT,MON,CAN,EUR,FRA,GBR,GER,HUN,ITA,USA,JPN,Points
Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28]
