Constructor,Friday drivers,Friday drivers,Friday drivers,Friday drivers
Constructor,No.,Driver name,Rounds,Unnamed: 4_level_1
Renault,34,Allan McNish,"1–9, 11–16",
Renault,44,Franck Montagny,10,
Jordan–Ford,36,Zsolt Baumgartner  Björn Wirdheim  Satoshi Motoyama,12–13 15 16,
Minardi–Cosworth,39,Matteo Bobbi  Gianmaria Bruni,4 12–16,
