Pos.,Driver,AUS,MAL,BRA,SMR,ESP,AUT,MON,CAN,EUR,FRA,GBR,GER,HUN,ITA,USA,JPN,Points,Unnamed: 19
1,Michael Schumacher,4P,6F,Ret,1PF,1P,1PF,3,1,5,3,4,7,8,1PF,1F,8,93,
2,Kimi Räikkönen,3F,1,2,2,Ret,2,2F,6,RetPF,4,3,Ret,2,4,2P,2,91,
3,Juan Pablo Montoya,2,12,Ret,7,4,Ret,1,3,2,2F,2,1PF,3F,2,6,Ret,82,
4,Rubens Barrichello,Ret,2,RetPF,3,3F,3,8,5,3,7,1PF,Ret,Ret,3,Ret,1P,65,
5,Ralf Schumacher,8,4,7,4,5,6,4P,2P,1,1P,9,Ret,4,WD,Ret,12F,58,
6,Fernando Alonso,7,3P,3,6,2,Ret,5,4F,4,Ret,Ret,4,1P,8,Ret,Ret,55,
7,David Coulthard,1,Ret,4,5,Ret,5,7,Ret,15†,5,5,2,5,Ret,Ret,3,51,
8,Jarno Trulli,5,5,8,13,Ret,8,6,Ret,Ret,Ret,6,3,7,Ret,4,5,33,
9,Jenson Button,10,7,Ret,8,9,4,DNS,Ret,7,Ret,8,8,10,Ret,Ret,4,17,
10,Mark Webber,Ret,Ret,9†,Ret,7,7,Ret,7,6,6,14,11†,6,7,Ret,11,17,
11,Heinz-Harald Frentzen,6,9,5,11,Ret,DNS,Ret,Ret,9,12,12,Ret,Ret,13†,3,Ret,13,
12,Giancarlo Fisichella,12†,Ret,1,15†,Ret,Ret,10,Ret,12,Ret,Ret,13†,Ret,10,7,Ret,12,
13,Cristiano da Matta,Ret,11,10,12,6,10,9,11†,Ret,11,7,6,11,Ret,9,7,10,
14,Nick Heidfeld,Ret,8,Ret,10,10,Ret,11,Ret,8,13,17,10,9,9,5,9,6,
15,Olivier Panis,Ret,Ret,Ret,9,Ret,Ret,13,8,Ret,8,11,5,Ret,Ret,Ret,10,6,
16,Jacques Villeneuve,9,DNS,6,Ret,Ret,12,Ret,Ret,Ret,9,10,9,Ret,6,Ret,,6,
17,Marc Gené,,,,,,,,,,,,,,5,,,4,
18,Takuma Sato,,,,,,,,,,,,,,,,6,3,
19,Ralph Firman,Ret,10,Ret,Ret,8,11,12,Ret,11,15,13,Ret,WD,,Ret,14,1,
20,Justin Wilson,Ret,Ret,Ret,Ret,11,13,Ret,Ret,13,14,16,Ret,Ret,Ret,8,13,1,
21,Antônio Pizzonia,13†,Ret,Ret,14,Ret,9,Ret,10†,10,10,Ret,,,,,,0,
22,Jos Verstappen,11,13,Ret,Ret,12,Ret,Ret,9,14,16,15,Ret,12,Ret,10,15,0,
23,Nicolas Kiesa,,,,,,,,,,,,12,13,12,11,16,0,
24,Zsolt Baumgartner,,,,,,,,,,,,,Ret,11,,,0,
Pos.,Driver,AUS,MAL,BRA,SMR,ESP,AUT,MON,CAN,EUR,FRA,GBR,GER,HUN,ITA,USA,JPN,Points,
Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28],Source:[28]
