Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Revson Racing,Lotus-BRM,24,BRM P56 1.5 V8,D,Peter Revson,"1, 6, 8"
Bernard Collomb,Lotus-Climax,24,Climax FWMV 1.5 V8,D,Bernard Collomb,1
Maurice Trintignant,BRM,P57,BRM P56 1.5 V8,D,Maurice Trintignant,"1, 4–6, 8"
Brabham Racing Organisation,Brabham-Climax,BT7 BT11,Climax FWMV 1.5 V8,D,Jack Brabham,All
Brabham Racing Organisation,Brabham-Climax,BT7 BT11,Climax FWMV 1.5 V8,D,Dan Gurney,All
Owen Racing Organisation,BRM,P261 P67,BRM P56 1.5 V8,D,Richie Ginther,All
Owen Racing Organisation,BRM,P261 P67,BRM P56 1.5 V8,D,Graham Hill,All
Owen Racing Organisation,BRM,P261 P67,BRM P56 1.5 V8,D,Richard Attwood,5
Cooper Car Company,Cooper-Climax,T73 T66,Climax FWMV 1.5 V8,D,Phil Hill,"1–7, 9–10"
Cooper Car Company,Cooper-Climax,T73 T66,Climax FWMV 1.5 V8,D,Bruce McLaren,All
Cooper Car Company,Cooper-Climax,T73 T66,Climax FWMV 1.5 V8,D,John Love,8
Team Lotus,Lotus-Climax,25 33,Climax FWMV 1.5 V8,D,Peter Arundell,1–4
Team Lotus,Lotus-Climax,25 33,Climax FWMV 1.5 V8,D,Jim Clark,All
Team Lotus,Lotus-Climax,25 33,Climax FWMV 1.5 V8,D,Mike Spence,5–10
Team Lotus,Lotus-Climax,25 33,Climax FWMV 1.5 V8,D,Gerhard Mitter,6
Team Lotus,Lotus-Climax,25 33,Climax FWMV 1.5 V8,D,Walt Hansgen,9
Team Lotus,Lotus-Climax,25 33,Climax FWMV 1.5 V8,D,Moisés Solana,10
British Racing Partnership,Lotus-BRM,24,BRM P56 1.5 V8,D,Innes Ireland,1
British Racing Partnership,Lotus-BRM,24,BRM P56 1.5 V8,D,Trevor Taylor,5
British Racing Partnership,BRP-BRM,Mk 1 Mk 2,BRM P56 1.5 V8,D,Innes Ireland,"3–5, 7–10"
British Racing Partnership,BRP-BRM,Mk 1 Mk 2,BRM P56 1.5 V8,D,Trevor Taylor,"1, 3–4, 7–10"
DW Racing Enterprises,Brabham-Climax,BT11,Climax FWMV 1.5 V8,D,Bob Anderson,1–8
Reg Parnell Racing,Lotus-Climax,25,Climax FWMV 1.5 V8,D,Chris Amon,7
Reg Parnell Racing,Lotus-BRM,25 24,BRM P56 1.5 V8,D,Chris Amon,"1–6, 9–10"
Reg Parnell Racing,Lotus-BRM,25 24,BRM P56 1.5 V8,D,Mike Hailwood,"1–2, 4–10"
Reg Parnell Racing,Lotus-BRM,25 24,BRM P56 1.5 V8,D,Peter Revson,3–5
R.R.C. Walker Racing Team,Cooper-Climax,T66,Climax FWMV 1.5 V8,D,Edgar Barth,6
R.R.C. Walker Racing Team,Cooper-Climax,T66,Climax FWMV 1.5 V8,D,Jo Bonnier,1
R.R.C. Walker Racing Team,Brabham-Climax,BT7,Climax FWMV 1.5 V8,D,Jo Bonnier,7–10
R.R.C. Walker Racing Team,Brabham-BRM,BT11,BRM P56 1.5 V8,D,Jo Bonnier,"2–3, 5–6"
R.R.C. Walker Racing Team,Brabham-BRM,BT11,BRM P56 1.5 V8,D,Jochen Rindt,7
R.R.C. Walker Racing Team,Brabham-BRM,BT11,BRM P56 1.5 V8,D,Geki,8
R.R.C. Walker Racing Team,Brabham-BRM,BT11,BRM P56 1.5 V8,D,Jo Siffert,9–10
R.R.C. Walker Racing Team,Brabham-BRM,BT11,BRM P56 1.5 V8,D,Hap Sharp,9–10
Scuderia Ferrari SpA SEFAC  North American Racing Team,Ferrari,156 158 1512,Ferrari 178 1.5 V6 Ferrari 205B 1.5 V8 Ferrari 207 1.5 F12,D,Lorenzo Bandini,All
Scuderia Ferrari SpA SEFAC  North American Racing Team,Ferrari,156 158 1512,Ferrari 178 1.5 V6 Ferrari 205B 1.5 V8 Ferrari 207 1.5 F12,D,John Surtees,All
Scuderia Ferrari SpA SEFAC  North American Racing Team,Ferrari,156 158 1512,Ferrari 178 1.5 V6 Ferrari 205B 1.5 V8 Ferrari 207 1.5 F12,D,Ludovico Scarfiotti,8
Scuderia Ferrari SpA SEFAC  North American Racing Team,Ferrari,156 158 1512,Ferrari 178 1.5 V6 Ferrari 205B 1.5 V8 Ferrari 207 1.5 F12,D,Pedro Rodríguez,10
Siffert Racing Team,Lotus-BRM,24,BRM P56 1.5 V8,D,Jo Siffert,1
Siffert Racing Team,Brabham-BRM,BT11,BRM P56 1.5 V8,D,Jo Siffert,2–8
Ecurie Maarsbergen,Porsche,718,Porsche 547/3 1.5 F4,D,Carel Godin de Beaufort,"2, 6"
Scuderia Centro Sud,BRM,P57,BRM P56 1.5 V8,D,Tony Maggs,"2–3, 5–7"
Scuderia Centro Sud,BRM,P57,BRM P56 1.5 V8,D,Giancarlo Baghetti,"2–3, 5–8"
Equipe Scirocco Belge,Scirocco-Climax,SP,Climax FWMV 1.5 V8,D,André Pilette,"3, 6"
Bob Gerard Racing,Cooper-Ford,T71/73,Ford 109E 1.5 L4,D,John Taylor,5
Ian Raby Racing,Brabham-BRM,BT3,BRM P56 1.5 V8,D,Ian Raby,"5, 8"
John Willment Automobiles,Brabham-Ford,BT10,Ford 109E 1.5 L4,D,Frank Gardner,5
Honda R & D Company,Honda,RA271,Honda RA271E 1.5 V12,D,Ronnie Bucknum,"6, 8–9"
Derrington-Francis Racing Team,ATS,DF,ATS 100 1.5 V8,G,Mário de Araújo Cabral,8
Fabre Urbain,Cooper-Climax,T60,Climax FWMV 1.5 V8,D,Jean-Claude Rudaz,8
