Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,Monaco Grand Prix,Jim Clark,Graham Hill,Graham Hill,BRM,D,Report
2,Dutch Grand Prix,Dan Gurney,Jim Clark,Jim Clark,Lotus-Climax,D,Report
3,Belgian Grand Prix,Dan Gurney,Dan Gurney,Jim Clark,Lotus-Climax,D,Report
4,French Grand Prix,Jim Clark,Jack Brabham,Dan Gurney,Brabham-Climax,D,Report
5,British Grand Prix,Jim Clark,Jim Clark,Jim Clark,Lotus-Climax,D,Report
6,German Grand Prix,John Surtees,John Surtees,John Surtees,Ferrari,D,Report
7,Austrian Grand Prix,Graham Hill,Dan Gurney,Lorenzo Bandini,Ferrari,D,Report
8,Italian Grand Prix,John Surtees,John Surtees,John Surtees,Ferrari,D,Report
9,United States Grand Prix,Jim Clark,Jim Clark,Graham Hill,BRM,D,Report
10,Mexican Grand Prix,Jim Clark,Jim Clark,Dan Gurney,Brabham-Climax,D,Report
