Round,Grand Prix,Circuit,Date
1,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",10 May
2,Dutch Grand Prix,"Circuit Park Zandvoort, Zandvoort",24 May
3,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",14 June
4,French Grand Prix,"Rouen-Les-Essarts, Orival",28 June
5,British Grand Prix,"Brands Hatch, West Kingsdown",11 July
6,German Grand Prix,"Nürburgring, Nürburg",2 August
7,Austrian Grand Prix,"Zeltweg Air Base, Styria",23 August
8,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",6 September
9,United States Grand Prix,"Watkins Glen International, New York",4 October
10,Mexican Grand Prix,"Magdalena Mixhuca, Mexico City",25 October
